video_id,duration,viewCount
HOE6uV1m2Lc,nan,99070
zpe721BZdWc,3.3,947080
aLmeUzP7rlc,12.05,238931
O9tVCJZ9lQg,13.25,10552502
I47jFtvnGyo,5.28,232143
XqpvZ7eCeKA,2.35,202684
1MT_ko84Br4,3.51,57531
I1WSOZ0QhCw,23.53,18886
lEmbuH3nrbE,4.58,16669
wIO23Qk-e4c,nan,157388
EOw5TWarnFE,nan,411657
ZbcOL_KSNTA,2.41,992519
QD88b410Wmc,8.57,45117
RYjfe8OSRFw,8.23,3785119
rpXMwHRwoxI,2.01,100791
vh6PocULqZQ,0.31,249964
vZ3a6VRbFro,4.57,24232
ya1UhzFd_xA,nan,156445
JJ_HOVQXZrA,nan,1235848
uS3YEyjxGEE,9.25,49695
xyGQx2BygPY,10.43,333681
zLKWsA3vOdA,nan,1452564
TTmFBOuW7sU,0.53,995431
OSN7VP6FNyo,nan,16434
MomtdXgYkGI,3.04,3389410
ljIry2dP0Rk,1.55,108311
7wfbLXZtuaA,1.09,55380
2_AcXqEojdA,nan,26841
rLCNryVa3v8,2.03,261861
YJefen3Yy6w,2.13,5089
sP-8Y9MTwI4,6.05,59984
Nw6mUpf8c8U,11.08,42411
MaulIjO9ELk,4.13,34315
SkSLGXdV4YU,4.57,328376
hoHu1k5mDFI,0.31,87733
iQNkO6_D5hM,nan,2224547
mbHiqDHy_iE,nan,1288583
4BCnaZVxNeE,nan,236185
y-w6balD58E,nan,1846317
7Z1X4ZFzXdc,nan,818426
mMrKeRCyQDM,7.58,763291
K7RSG08tx_c,17.3,302733
QHho_JYNKXY,10.01,204641
dJ6DdErHugY,7.36,7650616
EQdeHNWf-0I,nan,3287508
xIX5J11Vxuc,5.04,8050241
5vatA3H94HY,3.05,955246
zjOhYvk_cZA,nan,1772338
Ji-X81l_H0c,5.12,109468
7ZvYsWjzrEk,nan,1115391
75Vb4PT5aJ0,nan,2767928
bw26GwL5NAw,5.12,4401994
OjamZ1MZw-U,nan,17703191
mSEUcuFFBec,10.18,11956897
PzUXOrJ_1us,3.04,7207721
Ozpa6uc_nsk,,11645482
