video_id,duration
ygmqIKw9Flg,11.03
W3gKVIsKLqk,50.33
QcZOsh2RCIo,1.06
iq5A3AxBJjY,8.1
YAKQuCttDIM,8.35
PDlkFGNbhKY,4.17
X8Kt619uSPo,6.11
QGgHBKK8He4,0.38
238OUnIrXGY,11.03
7JIuGMuz6j4,42.3
GQfUrXADDwQ,6.07
nJdWNWfWGuo,6.13
y7p9KEz0uyI,4.56
JWSan5rIV9g,1.24
0I-hz5krkzE,1.08
v5fVnivRZR0,12.05
Wx3o1td7Dp8,12.4
FxOWWUn6ACQ,20.45
o3pgb8xllBs,6.04
WwiqzaGw7CQ,10.58
nHEOIIa9rSU,17.31
FzaWPKb51NM,2.41
b8Wth5IKYp8,NA
Sgg6sst5F7o,11.55
JVu065_xVK0,2.5
QcdQlpQdxuE,11.19
vikq-fLDk-E,4.18
sNxVVnGxRmA,20.31
p4f69nXKGas,7.33
JGRlHmckVWc,4.17
WWKSOyaMZ7k,7.27
wxNKCMjtsso,11.25
pi8NV_Tf5Wg,1.43
S8tbLSbSwOQ,11.25
Z5TTkpp5FyM,4.11
bsY5Afz0ZV8,3.57
4bhN9Fp1Nw8,1
Rkq0ZwLBKCU,13.08
rn0G-F3US5g,6.53
2pTdbngk5l8,17.27
Nwx9nXWOQpo,29.09
qfGI-N2n8HY,5.29
S4BNLNuQHRY,5.19
fVsGeVnilus,2.14
rSO6v3sFdbI,11.56
4uFgG6LUY0o,52.07
2mwDr6PdElc,3.25
46i_zBXO7Ew,NA
fzMMlB1aVO8,7.15
efuOKEJDWVk,20.07
lvfeKTQ1pyY,8.31
5iwWrRptz2w,14.37
gzr69bnGEQA,5.33
ehmDIW6fv4o,2.54
gUbL_jkruPc,13.59
ysIQyJSKJog,4.56
uBOqQprxkdk,2.36
cbz9awMnyJ4,1.26
V_vW_kkN-PE,15.09
1diSBAluRp0,4.34
PigHhEVLT38,1.22
ZMAznhFVbjs,4.22
xM7BVaRZaYc,1.52
URACI4b51cs,2.58
H9V0cw6jwgs,21.24
nhDcI4nh7Cs,4.46
9rpahHstsj8,7.38
04f6Z3gTEYk,5.38
dVJ2J9udVfo,10.06
Iw0XxyXiNq8,5.07
90e9jVm20aU,4.32
ZNI8ciSb-qY,6.27
jEh4WxcjoeA,11.52
f_Gu73g7E-M,13.08
q_WI1dk8lAo,7.26
3BKcjs4e1vs,4.44
JOd8rnKy0to,14.06
VUz0knpL8cg,20.45
_ASe7jvAV3M,10.48
pQ2NKo_W_Ec,3.16
568Ot5jMDYw,4.57
4rK6F8bvH-g,16.17
FwHsQ2Syu1k,14.47
IrlNhfV6lHI,10.57
8J_A-6Bg3o4,4.33
V2S5FcxWVIM,9.03
UnbsAINO6fg,4.49
wEtJdvUs7ug,9.54
pPtoUKp8RI0,4.43
OkEynh2WOqk,8.23
d15AKodvyTo,11.48
Q9DGXOZOWi0,2.15
TOcGSwJBPMQ,15.19
p3wuHR4wBwo,22.04
0e6FtGBkHHg,6.32
IqoqhruujN4,8.52
L98KCWMgbic,10.44
pvC6OTTwcIY,2.58
Ya0ei82N4m0,13.51
1S_qqwk4CYs,4.52
cSUtWVFaG4I,NA
muk3dC14rXU,12.59
E4rwLQAmxsg,8.38
qdcU4Z1bMPo,27.54
U8aYir7gV48,12.29
TpXBVJ3llcw,10.01
ZNJlz7Lo2FQ,13.2
11L7wWkcx-s,12.54
JWPWUQjTixU,12.55
OMyNNgSVgEY,3.23
8qs2EmpR2EY,33.06
RVyIydmhvsc,1.07
rQ2p3vmJW4k,1.18
iXfHXa9AQMU,19.59
pDyTAroPA1M,8.5
KLnMz0d9_PM,15.17
FoU4gAFx30c,3.48
RRDUUtjJLAg,12.21
DsOXaRxuiU8,15.08
4n2JCF-fgJk,6.16
IGmGKUOSDrU,8.11
SlVsRqX46i8,1.57
P5O_oxYrIHA,5.49
nHKv7ZmBUHs,5.22
RoxKFv_SLS8,18
Wyox1PfnF0k,5.25
8jnEhqcz6gI,6.32
hsklFdgGXCk,23.16
76VqTRiTBxs,8.07
bihky_Ebkf0,11
RTso0clRyQc,10.11
7Mzg3o_cs2k,11.41
BA9ytzNm6Hk,11.28
oPrPFpi4x4E,12.16
KPQYXK-9WJo,1.07
G0M75bREv3I,1.31
x5GxzA3wprg,4.33
W6vtfjm8re8,28.09
B0-noo1d5_Y,14.56
_-JKDjVSrJI,11.59
xGfyBZ17WuU,10.16
Kr3q_lSXyFk,18.47
lDFSc17PpFM,17.12
m2MoqZS_lzk,1.53
YiWoHHNUu3s,43.45
nwBozOJpygE,1.23
xkM0Ygic0Vg,2.28
culxz58ccsc,13.07
NssmeD61Ibo,4.15
-5MaLPuIP_U,7.29
YxKDwBjfxvI,2.06
5D-c_mg8eDU,2.3
