video_id,duration,viewCount
Bs8A1oxQw5I,6.39,140153
2O5g93Fc_uw,13.08,50291
sJ9_oTq2B2E,11.22,1432
_Xu7LBV_w_o,10.39,174890
ePRlIPSNaOY,10.5,47795
5NEJB1vNhdM,11,1509622
9lxu-gA6bJ4,0.31,8318
chKGlrFz73g,2.3,9
GMpr_rKyBRg,9.52,2810
vgReeDuWa1c,30.15,28
EuzGEj5m-QA,25.59,746
5nCiUqnIkLU,13.42,751
dbrzMY8ABVc,6.47,230227
conaicQG39M,10.31,394347
1vXp4Ccd7Vk,20.59,100
b3AOD118yQQ,1.24,14
j_xKU4_VFXM,11.2,700153
NgQHBEkLYQY,35.39,15
hnWCkvjw36M,9.43,702737
yFozDe63qIA,33.52,1735351
cUgrN9ZEffc,16.28,3415
ePiNaN0iYhs,23.06,90
qb6onA8oyiw,9.2,17
Z9c6nI-gWqk,27.2,18
VVAvZ6kHE70,27.2,83
YRpoiPFjTU0,10.15,477
dbePzch5OZE,1.09,93
wZh1NByCmJM,29.38,8457
YmUNjG-cSz0,11.34,564
yN183Trh2NY,10.51,2337
OujBxkJd8GY,9.18,22
iwcByfhfVww,3.14,114569
RlnVYNu5qLI,5.3,274921
-C1JDK80LUM,nan,3
ML8nGmEDGOA,9.36,2067
VPOviBkfXls,3.51,1128
TxKSmvXs2ug,38.33,469373
JLpDavd8KVw,9.51,806
YcHE1wY2dVE,12.54,2099
FFWvDr2-DLI,19.42,39
UepdPaMbzWc,16.26,62
8JvFVuiUXW8,13.41,294
By2hmo323xM,8.23,2351197
irymghI4Y7k,2.09,189
cxKFeMiZTYs,7.03,39
HIwzFHAQK_w,9.46,27
UBbyRCU-V2Y,3.49,8943
TRjfkYiUcSI,12.15,147
50jgV_bzV5U,18.29,32348
_Q-4PpsmluI,13.39,56
sMaOIqPOghg,7.5,147
h79nJFhbOIQ,15.55,6648
SjpjzEjmVxo,nan,17
KuLRCXpPjhs,12.32,112
_Lkk0Xw0q_U,1.3,3233
PNYdQrFResI,nan,1247
4Vb9g17kN5U,3.29,824
RT5vAQgG7JQ,9.46,77
S5Z_bxxAcpU,0.16,3351
VHu5EcF4diw,10.47,30704
60CQMYxxPhI,2.48,77
9E4HMgh7ZsE,1.35,6848132
H3CGsnTom_A,25.16,13163
cSFqD6MKifM,10.09,1535
