video_id,duration,likeCount
fJu7EfnkIs4,16.35,41
RP3A1QrGaq0,6.08,6268
f-aY_KlEDjE,4.08,175037
8a3EG7PHHgo,5.01,199921
ZHyx0CqOmyg,10.55,10
LtIwm1UBTrE,3.53,16
wTH620EMy9w,0.5,6
4bwK1qtt3ws,16.44,391
xtyLa0sOMR8,2.21,1
7QZxW-HnFgo,1.33,1796
jAZao5y-DFk,3.59,85
tIVnplx3ZHs,11.02,381
3mcDwfcXUdQ,11.15,5013
ncQ1MwjUbgM,3.53,111036
p7Hd09vQPiw,9.07,1256
1Pd-N3fEBhM,6.1,14249
s6gepuJj198,7.25,7967
hq5kKvL_1rw,10.04,16702
tCxztjJ0Qyo,2.35,2533
43ui14tgDbA,1.48,6411223
YqFEPcC-YI0,43.37,121
AP_SBpUJzM8,2.49,39443
gF7YHKVGFbo,2.59,2229
Aq-AFwL4G04,2.49,722
ww3wWow92ME,9.02,1604356
brkWPLvibyE,0.49,203
sr1rJKpromE,7.28,108
GRgtaddS0zw,5.06,35086
sf1uwXXonyw,NA,284
Cvdq2zuYzUY,1.13,215
XSYCyxYyGMA,11.06,172399
pZ9iPyTY_e4,27.21,51
i1d1Q1HZhK8,4.18,163932
nGkNJSPuAtI,5.09,3441
i1Doq1OtYrs,50.2,38
AuBskRhhn1Q,5.21,415850
A0lmOlooYmQ,4.01,517
e6zrvyhoEb4,12.36,584
91XKn2aZwBI,6.01,277
2OK0x07VLTs,12.07,15437
O9p42UKF3eI,11.56,70454
n2deUm0t5n0,2.12,156
M9rgFmLDPwc,7.4,984
LTtX_xtdItg,1.35,48
crPnfqu-Dx4,4.16,100051
wJyHkAZeX4E,4.53,1555
ahVgjS3a8-g,10.33,535
qCsd-Hz4prs,3.55,701121
Jb7H8yRj360,8.43,226
Rs8uAKPDdV4,11.09,3505
kp3IkW89FTE,1.46,936
jgdEbCEPJ7c,11.37,8058
FPGkznFCh08,14.18,5677
g-3uTsAAN2s,5.48,25285
RxeGXS71jI0,11.22,1274948
Wk2NxBYCe6s,8.04,9130
TRBXlM6S4A8,10.56,15570
6FgpsnBSXac,2.15,30
_HgsyfwbTGM,8.09,427
Yp_kP-0u_BE,10.41,59
ug5lfLJKdi0,3.12,303
00ZRTImtnBc,2.32,513
D8JfMcqy3o8,11.14,19552
HOhCAGSpKwM,0.36,67
BzYsaCv1GA0,29.55,1844
34rvb2oZAMM,11.4,13955
2CAtomnhOvY,11.24,1993
9E18gqSx09A,7.36,8056
INf5LmMKeNc,4.5,431
wJ9n_vPcsq0,10.41,22
yZTfAEfPkEk,3.59,350
7C3p9J4bCic,14.35,171
jVP7D1SItnA,0.47,7243
XOarUCcMhBA,6.12,2478
JEriuIAwaJY,16.19,1275
20AZ8vQMe40,3.41,203
qI3eQvrp0os,0.27,10706
FAzB8Dzem0k,33.12,354
0NXZ7RyqGXs,2.34,75
TpIQZ4AZNFI,8.09,53
WBzCmssYOoI,23.55,1048
hEF4J4_AQA0,2.28,2243
WFQWeTB-m0g,3.17,32
ZcKgvtpu8TY,0.27,293778
90glHza9Deg,12.23,849
m0j0LPhsnEU,0.55,115
F33qvwy0W1k,6.54,476822
lc6N-8CkVIY,3.4,1011
5XqgIFy1LZ4,1.3,457
4L-iKYxhXHw,7.1,3954862
j0SCkYcd7gM,8.4,281
aB1Ddl0o6Yo,0.5,266
6RVHTxB7eEk,4.42,1046
aCOvaFfTfDw,3.39,34
H0qEeFbA1d8,3.41,986
6axC6_MGxzM,2.28,300
sZu5O0GDr54,3.08,264
wUGnudKI0OI,4.28,47
zIIWFSTOZFI,9.01,169175
kOYg994hPnQ,12.53,2325447
Rjd-z-3d57U,2.01,156
g9HxXRa0pbs,24.29,92
3qgQdCgvmnE,0.18,120
48vr6ZVZFdE,4.52,95
KCeDPwR9-v0,4.17,55794
OzK3C2U6C0g,5.14,15063
fxjKhlpy65o,8.35,648
cJUkrOcG4r4,3.29,1194
rz_FFW0nJMs,5.16,879
jQRewp_RzF4,9.29,2962
IO44z10yQ18,1.59,617
p1wuyWHt-y8,1.26,3940
-TenfHdcxbg,10.1,1421
VTtHrgnR-4E,13.36,4967
IWWqJ-Iap-o,7.42,403
6YNTTzxIGgk,0.47,960
2fMT8liVKq0,3.01,165
vrEX5TSdEgo,11.44,22
63BBy9gTdC8,30.52,38814
vrfeIUDohBw,2.24,619
hQssJW0WViw,1.2,1222
woP7YVNng1c,23.42,31
a5gUpDvoPxI,30.42,322
VAjOOyD5zsE,5.49,66484
PoxlU6WTPUU,5.12,8853
m1_e6OwdL2Y,15.23,5353
xYOYe6lo-QY,5.51,15169
P8_9QZt2V0c,1.01,69
BBshcO53nPg,4.59,349
NVJAUxnNxe0,,385
jYGhbhX9dzE,,985
LgUFlj002q0,,166
1bmu7rBfRSA,,1498
yPMPWbP4OSU,,11864
xG9Cb9D_h68,,97
SalPY19lMZk,,4594
aS1r2T0CYPA,,117
2vgKCaLHisI,,12
9Llytm70cyM,,220
PeAeqh4I1Do,,18
jzVLfdx7__E,,2450827
QhGjdTYPEJU,,224
oncVJH-0dXw,,73
VWR2jBYAZSs,,24
Rha178ou8kc,,317
XFsaW5X-bAE,,54
YtJzZj5yT80,,249
qXxoy6_8iWE,,166
synYObxhJOc,,87
4LpSzkfyq3w,,346
7LdwZk1QACI,,4377
bTiPx1ZaBiQ,,42
3O_6gzHW-dY,,103
NPCs0JVxTrY,,352
kQLWUrWOCvA,,57
4DX5Gg5ruwA,,99
XKEr5ga78ss,,1369
w1yRYDucZs0,,865
xdbF15q24aM,,130
fW5eMJcH3nQ,,11
FEphAi0m-xY,,57
yoCJVO_bh6M,,195
twRuRjL_ZCU,,30
zWPboHmlE0k,,2428112
cqn2-SwmF50,,12469942
xFsP-q-yqyY,,207172
OdGydqLmvuk,,5960733
076Y8Mhw9dk,,212790
sBn01-EP7e4,,146074
ezzSs4gnqwI,,3678051
YryqpV7PBIA,,21774
CT86Dl442jA,,118248
pmDrKNV_iTE,,124
I-414JnwWdQ,,264827
Yl5P0O9EMTU,,79
bWsIJ7UVxQs,,245820
Cqjc0ILP4eA,,31834
epCwczrefuA,,69
JnuiEiuBaig,,835
tuy3p-iI6nE,,205298
nF6sedS52Vw,,175
WhRpW0cVmds,,302593
0O0CsY1w8Z4,,244351
cEuU1x-1FJg,,45437
VTHWKkd4tLM,,33197
rieWNHegUME,,64
Q-p747h4HKw,,5592360
lMEE13ho0aA,,32250
8bXqGyEEr_w,,1231461
SW6MZ9PkI_8,,192024
fkER4pCeJKo,,2141616
14LDUtA7G84,,208653
WCmGpsB1DlQ,,370255
