"","video_id","duration"
"260","ctj-tj8o41Q",NA
"261","JqFzflBD5e0",3.46
"262","rFkFncqovL0",3
"263","4dhz0ilAHlw",10.48
"264","CsOdmjax0iw",5.33
"265","PMUTBXMZmsw",3.01
"266","a3fca0A-ia0",NA
"267","jX8tKYdz4zg",23.12
"268","UJG71nXofQ0",1.46
"269","OnQhPiAiKig",10.18
"270","l1NKez6BzLM",0.11
"271","d5dBDoXIJro",10.46
"272","ZJEAvK6KYkA",10.32
"273","AvWopzsOBNg",NA
"274","ALVqeH-J2OE",NA
"275","ZkLxpKqhqVw",10.06
"276","3IzuFRJ5RKc",8.02
"277","q766A1uQL9w",11.44
"278","OVOi5zD92W0",1.45
"279","xtRVJIyJxDo",10.43
"280","xp_DY4PqG1c",16.47
"281","DTZawxHLv94",20.58
"282","cc_fvXtstNE",13.57
"283","73AhZcf1HUw",3.49
"284","tzf64HPOsBE",NA
"285","lmAA-PstohQ",10.38
"286","Ar_DEncDODU",13.01
"287","PYCpGZ5tM5E",12.4
"288","TdZHJpY7sN0",10.58
"289","O8eyDETkMJc",25.47
"290","SV99jL1LSt4",10.52
"291","cPEhLT9fEc0",30.31
"292","gmiYWTmFRVE",2.04
"293","ISccloDvj_0",44.58
"294","AwaIHmVIJsw",4.15
"295","oJ09xdxzIJQ",8.04
"296","4SKq9SEBvxM",NA
"297","-2jZeTeG13o",12.48
"298","6v0bEvuaJYE",11.42
"299","KRkgdXLI2UQ",13.01
"300","2REkk9SCRn0",4.06
"301","07zPYL0fgJI",28.03
"302","07zPYL0fgJI",28.03
"303","Xa3VOcESXK4",NA
"304","u9B0zcqGNUk",0.07
"305","COdl45v2juk",2.36
"306","8tNIsbdB9II",41.48
"307","9p1dMg0_PtA",10.24
"308","sGLz-oHUwsE",25.57
"309","wW17Rp2i1QQ",11.55
"310","1EmuzAK55AA",3.4
"311","JbTUFZg4N1Y",11.08
"312","OKmFbWCd3r4",1.02
"313","Tk338VXcb24",2.27
"314","Jur-AyOHNNU",3.35
"315","n1_hGHK_tK4",12.53
"316","3SrZbbci2ak",10.15
"317","rKjZung2W3I",22.55
"318","sQfk5HykiEk",7.26
"319","WTfPAiedj-o",12.54
"320","xHi1VHg_ss0",12.08
"321","dY_3ggKg0Bc",8.4
"322","3_SHbp8x1W4",0.51
"323","ccxZCdrf-0Q",10.1
"324","TM7whOx02Hc",0.19
"325","q-keAwnqwRQ",1.27
"326","cY9cPUPcQC0",9.03
"327","mWyx7WAHHXU",13.49
"328","5FpUGS4_UkQ",2.21
"329","sB5zlHMsM7k",8.02
"330","u6XAPnuFjJc",10.48
"331","1i5q33-kswU",1.52
"332","ciVSMQ5LlzY",2.18
"333","fyAQmWrSA88",26.14
"334","_CWiWp9DlU8",0.46
"335","zxP2mgdlaAA",4.13
"336","u6VtXvMnGjA",43.51
"337","3iZjIF3_USc",11.41
"338","gb0Hq9IpaOU",0.1
"339","gb0Hq9IpaOU",0.1
"340","ZNlKBP4vFJs",12.04
"341","zDZFcDGpL4U",11.41
"342","j3HEy0O2kIs",12.17
"343","3OGH6PlOiAw",7.44
"344","X5yGezXvyqk",0.1
"345","jqG74QmQ2EA",12.36
"346","Mew6G_og-PI",2.13
"347","u7-0Spa2xug",10.06
"348","kGOZL3Yb_Hs",2.44
"349","MFFqjA6oK9g",19.14
"350","MFFqjA6oK9g",19.14
"351","QHvWxtNR9ko",14.02
"352","QHvWxtNR9ko",14.02
"353","BQMo_9k3aLA",15.13
"354","JCMemwSVPKQ",0.25
"355","uVYA0dy6dlU",10.12
"356","uVYA0dy6dlU",10.12
"357","jG26cPUBeME",22.56
"358","Og5-Pm4HNlI",6.2
"359","EGnXekYXejs",22.44
"360","EGnXekYXejs",22.44
"361","ltdAJjjuExA",11.14
"362","ltdAJjjuExA",11.14
"363","EFe-ZstvW14",22.23
"364","LmBRityAORQ",1.32
"365","LmBRityAORQ",1.32
"366","Gjev8RkqO1k",10.29
"367","Gjev8RkqO1k",10.29
"368","gb0Hq9IpaOU",0.1
"369","gb0Hq9IpaOU",0.1
"370","iI4kKG0rWdY",23.07
"371","1Evwgu369Jw",2.54
"372","EGnXekYXejs",22.44
"373","EGnXekYXejs",22.44
"374","MFFqjA6oK9g",19.14
"375","MFFqjA6oK9g",19.14
"376","uVYA0dy6dlU",10.12
"377","uVYA0dy6dlU",11.14
"378","ltdAJjjuExA",11.14
"379","ltdAJjjuExA",1.32
"380","LmBRityAORQ",1.32
"381","LmBRityAORQ",1.32
"382","Gjev8RkqO1k",10.29
"383","Gjev8RkqO1k",10.29
"384","x9sCBCXrp8E",12.36
"385","QHvWxtNR9ko",14.02
"386","QHvWxtNR9ko",14.02
"387","c6xhzpxD5Lg",24.11
"388","2pPFDLeXobA",1.49
"389","xGNRzqkkWw4",4.27
"390","VNBQfar1x2s",12.31
"391","ozOqPoQkEeI",1.43
"392","-AI3unv0T7s",NA
"393","SQ-VA6oeA10",0.17
"394","UyajqvuCBJM",3.48
"395","Oza8xE3tp_M",18.15
"396","EnS2bi7G_mg",23.12
"397","KtAcw6rRFQ0",0.14
"398","OhtOIt7rzgo",19
"399","aiXjIsAoVXU",NA
"400","-AhUawes0P4",0.06
"401","o41SG8x8E-4",12.41
"402","a-8-yFnLatk",NA
"403","f6U7YFPrz6Y",8.58
"404","PKYVvPNhRR0",8.09
"405","hZREFIZueeg",2.48
"406","IxO3ReWkJ6Y",NA
"407","Hi14ku84oSM",0.16
"408","WNH2PGjce88",NA
"409","Jjqd697mGpY",0.08
"410","ChQz36AAyPo",0.13
"411","HzsTh3e0j7E",0.8
"412","db_7-xddxIk",NA
"413","XRDX1OjmkwU",NA
"414","x4NEZfO6ms0",2.16
"415","21_o6IHTLRI",4.3
"416","4n7fosK9UyY",2.28
"417","Osvay_H7WQs",23.12
"418","lv-H8_1JZzA",0.04
"419","21AcP5S1kYQ",NA
"420","cDSmyeeL9ew",22.18
"421","50enhol6P80",0.28
"422","xnF1Cf49KCk",59.07
"423","07zPYL0fgJI",28.03
"424","07zPYL0fgJI",28.03
"425","uHGOKsCKyug",NA
"426","3HA0yGQDh7c",0.48
"427","Qn4QmXJhFpA",10.35
"428","bZ8Z2EulIo8",NA
"429","fMcr1Uf8ynA",NA
"430","lnAPSsJCFng",4.34
"431","k5YPByzSiqs",2.45
"432","LYsAfoj4nDY",0.56
"433","XOJWu-Iifc4",0.07
"434","Tgzyn7ygL6A",12.05
"435","KIybcP_f690",NA
"436","SWNuE3DF9x8",3.12
"437","lX44CAz-JhU",4.46
"438","ru0K8uYEZWw",14.25
"439","a358Eiz4L3g",14.25
"440","tY4j1AYVJd4",28.57
"441","1WnclkPMGTc",10.25
"442","FNApaFRSSyc",7.32
"443","gS-WFdKx7ZA",NA
"444","VLTlNCr26cQ",NA
"445","yMNgy0cQFiA",NA
"446","9bb6ikObPR0",23.06
"447","_RJgrV_YmGk",NA
"448","Ez906SYM9vk",NA
"449","fADNJvtUYDw",4.33
"450","-Pvf-TLdBxU",2.19
"451","fYSazphh_C8",3.49
"452","g8E2m4viH4I",10.34
"453","qqAiTifcH58",NA
"454","xfgKjAAfRIs",25.41
"455","IOxfzqIUirs",12.02
"456","V258MgQ3jbA",12.44
"457","u4fXHELbP2k",7.08
"458","-lqProimDac",5.24
"459","DzAu_4-jsSA",7.08
"460","FcwhmtuJFi4",5.24
"461","HipIMSqQPMc",12.21
"462","l8qUuz3f6AQ",23.32
"463","CELpb3CrFb0",14.5
"464","gMkGXxX6e2A",12.38
"465","Xy-5YG9WRMk",3.31
"466","WvjugV0E0c4",3.58
"467","1gmTncfA5JY",2.32
"468","XUtbqhq9Xtk",11.04
"469","5IDaNUu56ZM",10.38
"470","VznqIU8sYPk",11.37
"471","e4VAPHdxJWs",16.06
"472","cY8Sf6Bjz88",13.22
"473","8dtoN9_iDOI",10.17
"474","le8d198s6mA",6.28
"475","Bcge0VuFwSo",9.43
"476","jIDpYBYzV8U",2.34
"477","DAV0wk9z5f4",24.18
"478","p7XAW5NzwiA",12
"479","TunnVx2lsmA",12.01
"480","CffkPAm2EMg",39.26
"481","0LfWMrERydM",35.33
"482","63PoPEeMdiU",27.08
"483","Sp0D5_YkYhc",14.18
"484","TToBppEkntA",10.13
"485","hEyEHUgDlBc",11.05
"486","RCttR07Ciw4",16.47
"487","fQjNUMJQ_08",16.03
"488","47iOCC1DHoM",12.56
"489","aYMn2GMZ8g8",10.03
"490","s6uW1odtjPc",25.23
"491","ziBjMv9K40o",10.02
"492","rStsx8SGsPc",39.4
"493","iCP0bakbPR0",4.43
"494","twlb_LJsp4Q",10.54
"495","M9sHwGQYmJI",11.46
"496","nWe2On5H6UA",10.35
"497","8vOUnywZxrs",3.43
"498","JhixxfQWauw",5.5
"499","mzF1nZjGdGQ",14.09
"500","qmMN9MLMWfs",12.29
"501","xG-shzpyAnI",5.5
"502","npfahtvaWOk",5.21
"503","58oVAN8BYBE",10.38
"504","O0kFELTag1o",4.42
"505","1OfABoqs27I",4.07
"506","crhvwfX8CLQ",22.06
"507","vZ23ZxDcRB8",8.17
"508","aoHziWK2TcI",5.21
"509","t_E4SFZ1hMc",8.27
"510","hjI2-o60W1I",12.11
"511","kLUFit8815c",37.4
"512","GLZqyCqTxTM",18.5
"513","-M6-gVCZBnc",37.46
"514","He1SQV8kAqY",6.12
"515","oGLeVSSErXk",12.07
"516","hPSRSDEaYJg",12.23
"517","saDnAkBU6Qs",12.37
"518","oPU4rmIrvuw",10.02
"519","idwchtBBXB0",19.24
"520","2nNzfGHvl7U",31.42
"521","quZU_hA4Pr4",7.52
"522","83a1lb5gwNQ",3.55
"523","QSKOPTiwhe0",39.16
"524","DUgAnN268kc",4.5
"525","5FXFnyRnl48",11.3
"526","OED5v-n6BLw",16.56
"527","lHPYmEvOjAc",10.5
"528","tyk3aiBHISw",10.19
"529","Hbk9GhfBjw4",27.49
