title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
14,25,38,3,0,0
11,31,11625,417,15,58
6,32,2345,42,0,58
12,24,30949,442,11,28
7,29,191080,2186,724,54
15,28,322836,2523,82,180
9,26,422,4,2,0
17,30,4456,287,4,53
7,23,10646,107,8,5
10,24,14,1,0,0
7,24,201,5,0,0
6,25,88336,327,67,11
16,26,7,0,0,0
6,27,945374,4420,354,507
7,27,2471275,15611,7467,1980
16,31,88961,1070,23,107
6,25,786,124,3,39
14,26,4,0,0,0
8,24,904076,2370,575,105
12,24,44146,799,22,132
8,28,47373,375,43,12
9,27,49,2,0,0
11,29,323105,2177,112,202
5,1,57,1,0,0
7,26,3850,116,11,16
14,31,211487,1949,49,162
13,28,168327,1560,61,132
8,23,373492,12499,416,629
14,28,11201,309,15,80
9,25,84,2,0,0
13,32,129463,1289,37,139
9,26,6697,78,9,4
6,24,2,0,0,0
10,25,386,15,2,0
9,25,320,33,0,6
11,28,9,1,0,0
9,26,86,2,0,0
9,25,208,3,0,0
6,29,94355,1344,452,228
15,29,382830,2495,129,148
11,27,106,1,0,0
10,25,617,28,0,0
19,24,35,11,0,12
4,4,413,2,1,0
9,27,55,5,0,0
12,28,116677,1093,41,93
17,24,310,8,0,3
9,27,50,1,0,0
12,30,41516,527,12,92
16,33,15250,166,18,33
11,20,50,5,0,0
12,20,5762,32,23,5
5,25,2022404,6954,1822,620
9,28,49299,996,22,115
10,31,340254,2101,84,142
14,25,41545,214,112,23
13,50,157,10,0,3
5,21,761,66,0,40
7,25,172168,397,112,50
13,31,5456,283,6,48
12,31,34973,1208,65,651
7,4,273753,1952,151,49
14,27,19281,519,18,62
12,28,1413718,7189,483,234
11,16,1548,17,3,0
14,19,5470,48,8,27
13,25,60,0,0,0
4,24,217765,1102,76,81
15,30,16,2,0,0
13,29,71778,2667,40,260
13,27,20883,372,7,34
81,86,13477,252,65,14
10,5,707,18,6,0
6,30,96663,892,77,59
13,23,5860,269,10,29
13,23,898,12,1,3
13,27,71323,823,21,80
9,20,167,3,0,0
8,26,84,5,0,0
11,17,1267,16,2,5
9,25,31,2,0,0
11,28,313169,1965,286,81
9,28,388,3,1,0
13,28,5662,99,6,7
14,27,7119,142,25,28
16,27,42,0,0,0
17,26,1290687,NA,NA,NA
9,29,3021,30,3,2
8,27,270064,3710,438,166
10,21,388758,2041,280,112
9,27,130995,1345,340,334
14,29,51758,306,31,70
14,25,269873,3927,257,229
6,28,25370,558,85,211
9,31,397040,5067,463,484
12,26,32012,489,6,48
10,18,3076,32,1,3
12,27,77496,2238,51,87
9,17,4528,71,1,6
13,24,19670,357,7,27
6,28,376,7,2,0
3,23,6561996,117653,6436,9146
12,23,9484,890,22,490
10,29,15659,353,17,47
9,19,291,8,1,0
4,22,1433,139,7,22
8,33,8143,96,5,16
11,22,49006,1053,8,331
12,24,26172,433,48,65
14,25,19076,425,18,65
7,27,62622,1075,51,122
7,22,45679,1260,56,56
2,22,496,22,0,7
6,14,4849,6,8,0
16,28,5314,374,9,65
5,24,5167,211,6,50
15,30,4067,72,2,20
18,27,30819,899,21,223
8,33,38764,135,66,2
11,23,82,1,0,3
18,24,5512,207,6,13
19,27,974,27,2,3
5,21,1612,19,5,11
9,31,55,1,0,0
5,21,461,10,1,1
13,29,25616,630,16,91
7,29,2302,46,3,3
6,12,5561,21,1,5
5,8,17111,164,0,44
10,25,121,17,0,50
10,22,1513,67,4,190
6,26,8202,296,16,73
14,14,3056,211,33,100
9,24,274,31,1,83
6,31,57460,255,6,37
9,29,12140,375,9,70
7,27,648,42,0,8
9,20,3448,12,3,7
31,145,149240,1019,123,220
13,28,105145,1035,82,147
9,11,863252,9767,915,489
11,31,360,7,0,12
7,19,266,25,2,16
7,16,2150,14,0,0
12,21,522,14,2,15
13,29,120026,168,37,13
5,15,1525,89,2,7
16,25,2366,10,3,0
8,22,1782533,14955,3566,1248
9,26,631,10,2,12
6,25,6051,45,5,14
5,14,5813,293,32,23
4,10,807,7,1,2
8,33,44207,148,165,0
8,25,47967,296,72,21
8,0,1267,27,7,3
5,21,1220,20,0,0
17,32,162,23,1,29
6,26,305,0,0,0
12,31,520,47,0,1
9,33,406,7,1,6
9,18,51148,254,211,52
9,22,1247,5,1,2
3,30,389,NA,NA,41
14,40,3821,29,7,1
4,6,103,10,0,0
7,27,62,1,1,0
5,28,21,0,0,0
4,25,6,0,0,0
4,25,0,0,0,0
5,0,116,1,0,0
11,22,22,0,0,0
7,22,4203,NA,NA,NA
8,26,362069,2215,303,298
9,25,2294684,22785,2125,949
8,13,338142,4717,1291,500
11,26,1468864,10005,2818,855
7,26,159550,2305,344,177
14,26,64911,2072,173,120
