"","video_id","duration"
"446","swXcROhudd0",NA
"447","rOO7Xpf3ZyQ",NA
"448","9HJED2MFfLE",NA
"449","XW0j96I1MNk",NA
"450","5PwI3p6BXvY",NA
"451","AVLwfpA4vXU",NA
"452","5-akYpmsPJ8",NA
"453","PdqMlnl4Kyw",NA
"454","MGHxQp85APA",NA
"455","JGizSzsSioI",NA
"456","Si3nWiXco08",NA
"457","7s9lsmnYLUw",NA
"458","Ew1C2VsU6Y8",NA
"459","F6fMNJbiB9A",NA
"460","lA3mPyUBLqA",NA
"461","HQn8C8nefw8",NA
"462","C8r1v2VG7dA",NA
"463","V828p_HJcGc",NA
"464","m9jbcEJtlVk",NA
"465","IxjyYffnxmU",NA
"466","EYSHtkhV7HE",NA
"467","fKQRavCGhCI",NA
"468","CKd5Jvp4Ex0",NA
"469","VyW-WhF7TXg",NA
"470","UrvIh_wSIwE",NA
"471","xE_yyR0Zjsg",NA
"472","A2vcDRAdf5I",NA
"473","SL1lH0GZ4Sw",NA
"474","N11jky5OWz0",NA
"475","aUuhpI1WkZE",NA
"476","vkuiI430d_0",NA
"477","VCOLk9qybFw",NA
"478","Wbreg7yMxSk",NA
"479","1pL65DOG6Cc",NA
"480","ta7HoZFRKJQ",NA
"481","kCsvPdxwRLc",NA
"482","43USfrihSX4",NA
"483","yTEuLWG7RyA",NA
"484","JlVYr3olXqE",NA
"485","rQy23UgoVE8",NA
"486","EMWM2uN8WCQ",NA
"487","glLRVupBpA8",NA
"488","6FqUN9MO0zc",NA
"489","nTBsOxRQ91U",NA
"490","I8hhgc4dQsY",NA
"491","R-ZNzBLOqfY",NA
"492","MAvlUFpcgxQ",NA
"493","AKdjJxzofZg",NA
"494","F-vZCD1AJdM",NA
"495","Ti1o3SIoen4",NA
"496","unzGfi_z8yw",NA
"497","h64O52tGhZA",NA
"498","xhKn73ofkCY",NA
"499","GgBt0TlbwUY",NA
"500","4XU3KTRewWM",NA
"501","i2qbMG3165M",NA
"502","U9ROv4lQeJ0",NA
"503","CjwPClJX4gI",NA
"504","kIvxzWeHaYI",NA
"505","zwPn9ZnbCo0",NA
"506","Us9iDt5NGbc",NA
"507","1iNMsTMJz54",NA
"508","8yxEWkXAo2Q",NA
"509","u3qtDQSLfGU",NA
"510","m30nbFAhbJo",NA
"511","5kA6Nhj3y4E",NA
"512","f5A8Dd5HjkY",NA
"513","DULvxh0W5jA",NA
"514","5jyhn5zmf28",NA
"515","CMc9y8lz31Q",NA
"516","_oaV9y43vDk",NA
"517","513prg_Y1SU",NA
"518","3ogsrRWPpEQ",NA
"519","LCgCSBDl5yY",NA
"520","NAvn7CNpdB8",NA
"521","s4qH_e7tKA8",NA
"522","zIHp1ykkPpE",NA
"523","SCyg3hWNYVM",NA
"524","-w7_OLe6Ep0",NA
"525","okEDkfSM0rs",NA
"526","dt5g5_1cKVk",NA
"527","WbMD53XPJWA",NA
"528","5l8BK9cp6OM",NA
"529","ljw3EGq0dIg",NA
"530","vqk31oAfTG4",NA
"531","jw5oud8hTS0",NA
"532","0fq8Hq1kV28",NA
"533","jo-dgKbr1AE",NA
"534","IjFjXCF-BBo",NA
"535","0RiJKFjcHzM",NA
"536","7-X1UIQJ6mQ",NA
"537","83K0uPL9FwQ",NA
"538","oMnPtNK5oz0",NA
"539","2VfmnoiraDQ",NA
"540","imMCmpQyd0Q",NA
"541","kvjP33Hg1as",NA
"542","6bqtkqLZrBU",NA
"543","KOnpjyHDQuI",NA
"544","0phuNQQ_gHI",NA
"545","yN-wHBX0qPA",NA
"546","-m-q3QnN3_U",NA
"547","_vhwRYhWAzk",NA
"548","gHVTgZd7n_8",NA
"549","az2Xc26DCW8",NA
"550","pZkCZ4LCO0o",NA
"551","31cflfKTXQQ",NA
"552","ielNlsacdk8",NA
"553","MjM4p5HkGFw",NA
"554","gly91juW3_Y",NA
"555","X-pVlbhRqZE",NA
"556","3mo8t2YGjf4",NA
"557","wQDAGGjjpwk",NA
"558","YCcVhtolK7g",NA
"559","MG3VNLWzJm8",NA
"560","iV7YbKpuXAk",NA
"561","_sbkAFROsKc",NA
"562","QLz-pfgun_A",NA
"563","FGPLaP9xjws",NA
"564","4qiiVNiWqwA",NA
"565","YHTz66Jq0Dg",NA
"566","4ifcOah-FQI",NA
"567","vhjQUeEX9xQ",NA
"568","qB93c2JU4uQ",NA
"569","m-hCcr3EfJg",NA
"570","WnozP8OWeik",NA
"571","2EALCkub8GI",NA
"572","CERSCaMqUWk",NA
"573","xExzwSc4_eQ",NA
"574","a5vttDrZOGI",NA
"575","_w8PpoSIRVw",NA
"576","0t8iVtFGHCc",NA
"577","l63cMa4hfYU",NA
"578","j725ogBJj7Y",NA
"579","S5ughOg6x4Q",NA
"580","ac1LJUQpukk",NA
"581","WczVepo7fKw",NA
"582","vG3vt1ubcDg",NA
"583","sxIg80kk_-s",NA
"584","gCRH1fd-z4o",NA
"585","rm52Oh7FPXY",NA
"586","-PaggL0a7Gg",NA
"587","istuIHkkNfQ",NA
"588","OY0-VCimUbI",NA
"589","j8tlqcXOw68",NA
"590","GlVfmWNie2o",NA
"591","ZCCETV-8950",NA
"592","nZFxVd4Yto0",NA
"593","TD8cHGQvZNQ",NA
"594","cMWaLcYeBYk",NA
"595","CV-Doqo4XQo",NA
"596","76JrlVohD48",NA
"597","2LTre7FwGeE",NA
"598","1L36N-Pt7OQ",NA
"599","5BWdfxePOmo",NA
"600","4X1R5wRs4nw",NA
"601","z6jJq4f8kxw",NA
"602","PuDw9cM_ZKg",NA
"603","h46IqIu4oGc",NA
"604","vf08NXm4wyI",NA
"605","WLfXebDmlkI",NA
"606","C3L6a9wRCq8",NA
"607","0rZasX7IFqk",NA
"608","l0yU-mcCM9I",NA
"609","holzBghWTlY",NA
"610","PixXCOLb3OM",NA
"611","Csi_Q1YJYx4",NA
"612","4o6Eh1KTg5o",NA
"613","cN10tfVW0UY",NA
"614","tAomOAfb1iw",NA
"615","l7vrL_qoyMw",NA
"616","LyPLAw5ME4E",NA
"617","lQKDJY0XWmY",NA
"618","weWt33gPSWQ",NA
"619","AQMexTk_LaQ",NA
"620","NPVnMBq5xLQ",NA
"621","sRrhCl2T0K4",NA
"622","-YUtgXV4nLg",NA
"623","9-ISC2tqW2s",NA
"624","Xtkw7Zb0hsw",NA
"625","TgvKHOXEpmM",NA
"626","TgGZ_ric3BA",NA
"627","3924VVQxdg8",NA
"628","DP4w-DOTPQQ",NA
"629","WC7yWdH7Kh0",NA
"630","_cWklSGyYyk",NA
"631","X5a7dPSYEh0",NA
"632","wfO_VMhVXGg",NA
"633","O8ikEWIM9Xs",NA
"634","GZOtIvpR5Lw",NA
"635","KBGrpgaTe7k",NA
"636","2dW3qfgvpJo",NA
"637","9fUU6y5-rTc",NA
"638","Mnj2B2uubzQ",NA
"639","jn9sNuFaKe0",NA
"640","XvHSlHhh1gk",NA
"641","BkJh0Wu0Q-Q",NA
"642","Woc85nZyocU",NA
"643","tG3-S2xWkUQ",NA
"644","2VawSnaxtSI",NA
"645","bibPGJBDILQ",NA
"646","AkigzUFr3ys",NA
"647","xiLpYo7HauE",NA
"648","f4ztwmHrBWI",NA
"649","Ne5Ju5MoHYA",NA
"650","ka5pYUSkgHI",NA
"651","SZQz9tkEHIg",NA
"652","7HlyQiOMAJY",NA
"653","4XRXBqsDmqw",NA
"654","O0pYVrMqM_c",NA
"655","8JmtmpOQdng",NA
"656","o3n83cw6Ej8",NA
"657","LdSKR8EHnXY",NA
"658","2g36_kKaPDc",NA
"659","H1B6csp4JWo",NA
"660","fR2ljJcqZW0",NA
"661","mnP_z3qXDCQ",NA
"662","iKHoIYys8y0",NA
"663","oOogxaa4hoY",NA
"664","tihmQmPqSdM",NA
"665","UciEIYZ-Eos",NA
"666","8pEDaBrj8LQ",NA
"667","pY3KPRTPzvg",NA
"668","6Mf2ylffKws",NA
"669","ftd9MlQz2ac",NA
"670","CURUqKL1GXM",NA
"671","y5-R-TICKSw",NA
"672","EWqmhr2dk10",NA
"673","ye15Z0Mf5l4",NA
"674","yLqFC1KQDc0",NA
"675","_G1s51VpNbg",NA
"676","rAqMlh0b2HU",NA
"677","d_x5IdqhK6Q",NA
"678","pndjRCmWeqY",NA
"679","BTKsYh4tyy4",NA
"680","5Dx_xLjxj0A",NA
"681","qrt9UcPsFjI",NA
"682","UcET4OVHoRo",NA
"683","wIEFNByU-MI",NA
"684","52bORzIODec",NA
"685","Bzu1vw0keYU",NA
"686","oHnrJFg-iVo",NA
"687","61NkUSYfydc",NA
"688","L2n-NnxYE_c",NA
"689","AxGlvetWIqc",NA
"690","rlM7y2WzRNw",NA
"691","kxT9svRZuKE",NA
"692","FzqrqZsDrOk",NA
"693","R-ckdtQ3-Xw",NA
"694","Ef25BS-_V9Q",NA
"695","GlEtxRP1a-w",NA
"696","GnThkfREsEs",NA
"697","e9hYUhpuc2I",NA
"698","KOZSkZCbx30",NA
"699","PNgj6h11vKg",NA
"700","KVJmhvZ4fCM",NA
"701","NPzXvwUPy2Q",NA
"702","8ldB5pUUOVg",NA
"703","MBpcpx4xjLI",NA
"704","ZjECOMbxbwg",NA
"705","HrX1lQ9UkNo",NA
"706","eLvuFWRxRh4",NA
"707","jui_G_nWjXA",NA
"708","2JNrbt0jDKQ",NA
"709","YlYN4UjMXA0",NA
"710","3MM8OkVT0hw",NA
"711","ZXyWwirLfcg",NA
"712","2xRthi19pKw",NA
"713","BOC8sq5EAzk",NA
"714","l-Hu9GlDao8",NA
"715","1k1MMVcJUfI",NA
"716","wzHJ_JOl270",NA
"717","8VkZ8YLO5CE",NA
"718","9fIjnf160aE",NA
"719","DtQCiom4PKY",NA
"720","R5ZZVcw0SI4",NA
"721","cPB51GAcI-w",NA
"722","MxtnUvcSr2I",NA
"723","lDWmnoMhsE0",NA
"724","V1lGKyu-dGY",NA
"725","txP7SZQpkiU",NA
"726","i1RemM_Uil4",NA
"727","OEJFEsZPoPM",NA
"728","Gi2xCPY07KQ",NA
"729","tdnMmcT9tHM",NA
"730","_w83EIcjjlg",NA
"731","1LtowDTiY5E",NA
"732","VFu6rai0E_g",NA
"733","3fF0MEc7miY",NA
"734","OEgW7mvAV1g",NA
"735","Rat_zakJj6k",NA
"736","MbGl8r5MzUI",NA
"737","H672FUExFak",NA
"738","yI4shGV1EsM",NA
"739","LG_Iyj2ovUo",NA
"740","yDqTHs9gj1o",NA
"741","Z1BCujX3pw8",NA
"742","g4Hbz2jLxvQ",NA
"743","AO4PrtAKu2E",NA
"744","4PihJ-ZaLGI",NA
"745","cksYkEzUa7k",NA
"746","lGuivq-6xrw",NA
"747","qClQzZT2FGE",NA
"748","PRl3GuXle80",NA
"749","xjUVfxCFckY",NA
"750","CV0CzXD5hbc",NA
"751","8PGsP59Io20",NA
"752","_akq3WeEW0w",NA
"753","qeHL0bQVIfU",NA
"754","yXZI7PLAq1M",NA
"755","A_yxS9sRIBw",NA
"756","TlmfPB20Ln4",NA
"757","lSBHogg4sRg",NA
"758","0u6JWep-40E",NA
"759","bw26GwL5NAw",NA
"760","XsqyU2II-Dg",NA
"761","-fg1WgwMQe0",NA
"762","mSEUcuFFBec",NA
"763","4cenzX4yodE",NA
"764","RCZazaWHh3g",NA
"765","-IF61N6AegU",NA
"766","HdPulhwLS50",NA
"767","zY3TRZhapbI",NA
"768","Q8Fix0-QCKA",NA
"769","9p61fyZ_jds",NA
"770","IFHtcvG5DNI",NA
"771","BWJ_lNRh6UM",NA
"772","Nti8ErmZtxc",NA
"773","l3Sqdk88gH4",NA
"774","QfSBBjueS04",NA
"775","Rr4stleAC1g",NA
"776","06od1w92BlA",NA
"777","XFSWbLOKGnc",NA
"778","PtjGkDiNwhU",NA
"779","Goaq_eQwuag",NA
"780","VwsnlsZX6xc",NA
"781","qbsLVSvC2-w",NA
"782","up_Bg_P2g0E",NA
"783","D41v1a5jteE",NA
"784","zZ-MYFQ-q2w",NA
"785","uoGCXFuDiQo",NA
"786","KA9iQi_2aMU",NA
"787","ihEuz9mr0xE",NA
"788","Hd80XHV6fzE",NA
"789","iMuGlGTJey4",NA
