"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"K0YWd8_BXGg","2019-11-16T15:00:06.000Z","UCP1iRaFlS5EYjJBryFV9JPw","Marvel Movies Before You Add The Special Effects","It might be the A-list stars donning the capes and masks, but the real heroes of today's CGI-heavy comic book movies are the special effects artists — the men ...","https://i.ytimg.com/vi/K0YWd8_BXGg/default.jpg","120","90","https://i.ytimg.com/vi/K0YWd8_BXGg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/K0YWd8_BXGg/hqdefault.jpg","480","360","Looper","none",1646149,13204,1032,0,443
"nMVLmvicHSI","2019-08-21T21:30:00.000Z","UCvC4D8onUfXzvjTOM-dBfEA","Marvel&#39;s Avengers | A-Day Gameplay","Lightning strikes, repulsor blasts, ground pounds, shield throws, and spy tech make our heroes quite the team in Marvel's Avengers! <U+25BB> Subscribe to Marvel: ...","https://i.ytimg.com/vi/nMVLmvicHSI/default.jpg","120","90","https://i.ytimg.com/vi/nMVLmvicHSI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/nMVLmvicHSI/hqdefault.jpg","480","360","Marvel Entertainment","none",1267295,33795,1276,0,4861
"2b3bU2vXtEE","2019-02-16T13:00:29.000Z","UCVEmLZrPXRAzZhb9u_QgFqA","Marvel And Dc Characters Fusion || Pics For You","I Have Collected These Pics To Make You Smile. Hope You Will Like it. If You Like It So Please don't forget to Like and Share this Video And also SUBSCRIBE ...","https://i.ytimg.com/vi/2b3bU2vXtEE/default.jpg","120","90","https://i.ytimg.com/vi/2b3bU2vXtEE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2b3bU2vXtEE/hqdefault.jpg","480","360","Pics For You","none",5865288,32890,5107,0,2390
"JrnuO4qg4rE","2019-12-15T22:46:21.000Z","UCDiFRMQWpcp8_KD4vwIVicw","Venom 2 Teaser - Carnage and Marvel Spider-Man News Breakdown","Venom 2 Teaser, Venom Carnage Scene and Marvel Spider-Man News Explained. Venom Scene, Spider-Man Far From Home Ending and Marvel Phase 4 ...","https://i.ytimg.com/vi/JrnuO4qg4rE/default.jpg","120","90","https://i.ytimg.com/vi/JrnuO4qg4rE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/JrnuO4qg4rE/hqdefault.jpg","480","360","Emergency Awesome","none",1887197,21428,1286,0,1303
"_Yb5CK8kq0o","2018-07-19T11:45:30.000Z","UC9IKSKDEtm_YpxPpua2656w","All Character Transformations in LEGO Marvel Super Heroes 2","All Character Transformations in LEGO Marvel Super Heroes 2.","https://i.ytimg.com/vi/_Yb5CK8kq0o/default.jpg","120","90","https://i.ytimg.com/vi/_Yb5CK8kq0o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/_Yb5CK8kq0o/hqdefault.jpg","480","360","ProunityGaming","none",31535853,105222,15046,0,2147
"tFypk3gkDNA","2019-06-07T12:00:09.000Z","UChGJGhZ9SOOHvBB0Y4DOO_w","Ryan vs Thanos Marvel Endgame Superheroes Hide and Seek!!!","Ryan vs Thanos Marvel Endgame Superheroes Hide and Seek!!! Ryan and Marvel Avenger finds Infinity Stones to win against Thanos! Ryan plays hide and ...","https://i.ytimg.com/vi/tFypk3gkDNA/default.jpg","120","90","https://i.ytimg.com/vi/tFypk3gkDNA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/tFypk3gkDNA/hqdefault.jpg","480","360","Ryan's World","none",15050807,47128,18143,0,NA
"tw9Uo1R8tZs","2019-11-14T18:15:01.000Z","UCuCk_7b2_4uSr6y5hFmjuMQ","20 Mistakes Marvel Wishes They Could Erase","Big Mistakes Marvel Wishes They Could Take Back SUBSCRIBE NOW to CBR! Click here: http://bit.ly/Subscribe-to-CBR We all make mistakes from time to time, ...","https://i.ytimg.com/vi/tw9Uo1R8tZs/default.jpg","120","90","https://i.ytimg.com/vi/tw9Uo1R8tZs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/tw9Uo1R8tZs/hqdefault.jpg","480","360","CBR","none",512238,4581,482,0,461
"L2BNEmMD5vQ","2019-08-20T09:56:03.000Z","UC64oAui-2WN5vXC7hTKoLbg","MARVEL&#39;S AVENGERS Gameplay Demo (2020) PS4 / Xbox One / PC","Subscribe HERE and NOW <U+279C> https://www.youtube.com/channel/UC64oAui-2WN5vXC7hTKoLbg?sub_confirmation=1 The BEST GAMES are here ...","https://i.ytimg.com/vi/L2BNEmMD5vQ/default.jpg","120","90","https://i.ytimg.com/vi/L2BNEmMD5vQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/L2BNEmMD5vQ/hqdefault.jpg","480","360","GameNewsOfficial","none",989490,13378,591,0,799
"zAdo7CnD1fg","2019-12-11T23:00:13.000Z","UCb2jdx_nZudyvkNSJWPgJzg","Actors Marvel Had to Fire For Serious Reasons","Actors Marvel Had to Fire For Serious Reasons UpNext is about giving you the latest news in Marvel Entertainment, DC, or any other show or movie that fans ...","https://i.ytimg.com/vi/zAdo7CnD1fg/default.jpg","120","90","https://i.ytimg.com/vi/zAdo7CnD1fg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zAdo7CnD1fg/hqdefault.jpg","480","360","UpNext","none",385210,3780,1750,0,234
"M49nPeLbY-E","2019-08-16T19:45:00.000Z","UCuCk_7b2_4uSr6y5hFmjuMQ","How These Marvel Characters Should Really Look Like","Biggest Marvel Character Makeovers From The Comics To The MCU SUBSCRIBE NOW to CBR! Click here: http://bit.ly/Subscribe-to-CBR We know when a ...","https://i.ytimg.com/vi/M49nPeLbY-E/default.jpg","120","90","https://i.ytimg.com/vi/M49nPeLbY-E/mqdefault.jpg","320","180","https://i.ytimg.com/vi/M49nPeLbY-E/hqdefault.jpg","480","360","CBR","none",725026,8982,401,0,784
