"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"11","AwFgM1_51Yg","2017-04-27","UCxHAGId0_KdTxczohhdnOLg","my 1st shopping haul","My very very very 1st ever ever ever shopping haul!! I've linked all the individual product links down below so feel free to click on to the products directly or the ...","https://i.ytimg.com/vi/AwFgM1_51Yg/default.jpg",120,90,"https://i.ytimg.com/vi/AwFgM1_51Yg/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/AwFgM1_51Yg/hqdefault.jpg",480,360,"Chloe Choo","none",3023,NA,NA,0,NA,4,2017
"12","LtSXH2uKG9I","2008-08-05","UClxb3xL_UCSd6DgbzuNyfVg","internet de cabeza telurica 443","Firefox sigue imponiéndose a Internet Explorer, ahora en Hungría, aunque Microsoft y Steve Balmer quieran negarlo. Veremos el archivo Léeme más raro, ...","https://i.ytimg.com/vi/LtSXH2uKG9I/default.jpg",120,90,"https://i.ytimg.com/vi/LtSXH2uKG9I/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/LtSXH2uKG9I/hqdefault.jpg",480,360,"teluricatv","none",15444,41,3,0,8,8,2008
"13","AczEqBme28Y","2018-05-13","UCCyWdVTS3OIccMT1XtpVp_g","how to ask someone for money that they owe you emma drew ad","5 tips for asking someone for money that they owe you. Check out Paym: ...","https://i.ytimg.com/vi/AczEqBme28Y/default.jpg",120,90,"https://i.ytimg.com/vi/AczEqBme28Y/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/AczEqBme28Y/hqdefault.jpg",480,360,"Emma Drew","none",1299,NA,NA,0,7,5,2018
"14","4IxNDUQhhCM","2009-02-28","UC0tPd90b_H1OuVSaWkYyJvA","andres video blog 20 happy 20 blogs","This has turned out to be something of a milestone weekend for me.I've been progressing forward in my art and this is my 20'th video blog on YouTube.","https://i.ytimg.com/vi/4IxNDUQhhCM/default.jpg",120,90,"https://i.ytimg.com/vi/4IxNDUQhhCM/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/4IxNDUQhhCM/hqdefault.jpg",480,360,"Andregrindle","none",20,0,0,0,0,2,2009
"15","ywrLKRUMayk","2019-11-04","UCGyhCn52ork3QWb0UlCy-OA","sri lanka elle <U+0D85><U+0DAD><U+0DB4><U+0DBA> <U+0D87><U+0DAD><U+0DD2> <U+0DB6><U+0DDC><U+0DC4><U+0DDD> <U+0DB8><U+0DD2><U+0DB1><U+0DD2><U+0DC3><U+0DD4><U+0DB1><U+0DCA><U+0DA7> <U+0D86><U+0DAF><U+0DBB><U+0DCA><U+0DC1><U+0DBA><U+0D9A><U+0DCA> <U+0DC0><U+0DD6> <U+0DAD><U+0DCA><U+200D><U+0DBB><U+0DD3> <U+0DC0><U+0DD3><U+0DBD><U+0DBB><U+0DCA> <U+0DBB><U+0DAE> <U+0DBB><U+0DD2><U+0DBA><U+0DAF><U+0DD4><U+0DBB><U+0DCF>","Subscribe Me: https://www.youtube.com/channel/UCGyhCn52ork3QWb0UlCy-OA?sub_confirmation=1 <U+0D87><U+0DAD><U+0DCA><U+0DAD><U+0DB8><U+0DBA><U+0DD2>..<U+0D85><U+0DB4><U+0DDA> <U+0DA0><U+0DD0><U+0DB1><U+0DBD><U+0DCA> <U+0D91><U+0D9A><U+0DA7><U+0DAD><U+0DCA> <U+0D9C><U+0DDC><U+0DA9><U+0DC0><U+0DD9><U+0DBD><U+0DCF> <U+0DBA><U+0DB1><U+0DCA><U+0DB1>...","https://i.ytimg.com/vi/ywrLKRUMayk/default.jpg",120,90,"https://i.ytimg.com/vi/ywrLKRUMayk/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/ywrLKRUMayk/hqdefault.jpg",480,360,"Sri Lanka Elle","none",172,10,0,0,0,11,2019
"16","FQ4VB5h3-N8","2018-03-06","UCvoGmCnj0bA3DbQcLy2k8hA","wardrobe new in","My latest and favourite items to hit my wardrobe and the things I have been wearing most over the past month and will keep wearing in the transeasonal weather ...","https://i.ytimg.com/vi/FQ4VB5h3-N8/default.jpg",120,90,"https://i.ytimg.com/vi/FQ4VB5h3-N8/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/FQ4VB5h3-N8/hqdefault.jpg",480,360,"Inspiring Wit TV","none",537,14,0,0,14,3,2018
"17","GLEu_w0edq4","2019-09-25","UCGyhCn52ork3QWb0UlCy-OA","sri lanka elle <U+0DC0><U+0DC3><U+0DBB> 12 <U+0D9A><U+0DA7> <U+0DC0><U+0DD0><U+0DA9><U+0DD2> <U+0DC0><U+0DD2><U+0DC1><U+0DCA><U+200D><U+0DBB><U+0DCF><U+0DB8> <U+0DC0><U+0DD0><U+0DA7><U+0DD4><U+0DB4><U+0DCA> <U+0DB1><U+0DDC><U+0DC5><U+0DB6><U+0DB1> <U+0DBB><U+0DAB><U+0DC0><U+0DD2><U+0DBB><U+0DD4><U+0DC0><U+0DB1><U+0DCA><U+0D9C><U+0DDA> <U+0DC3><U+0DCF><U+0DB8><U+0D9A><U+0DCF><U+0DB8><U+0DD3> <U+0D8B><U+0DAF><U+0DCA><U+0D9D><U+0DDD><U+0DC2><U+0DAB><U+0DBA>","Subscribe Me: https://www.youtube.com/channel/UCGyhCn52ork3QWb0UlCy-OA?sub_confirmation=1 Web Page : http://www.srilankaelle.com/ Web Page ...","https://i.ytimg.com/vi/GLEu_w0edq4/default.jpg",120,90,"https://i.ytimg.com/vi/GLEu_w0edq4/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/GLEu_w0edq4/hqdefault.jpg",480,360,"Sri Lanka Elle","none",273,6,1,0,0,9,2019
"18","N0LEU2JDRXs","2018-10-21","UCfbZ2GJspTSeCzr3S4Ua6qg","disney christmas gift guide 2018","Check out some #Disney gift ideas in this Christmas Gift Guide! <U+2B50><U+FE0F>SUBSCRIBE https://www.youtube.com/user/brummymummyof2 <U+2B50><U+FE0F>DISNEY PLAYLIST: ...","https://i.ytimg.com/vi/N0LEU2JDRXs/default.jpg",120,90,"https://i.ytimg.com/vi/N0LEU2JDRXs/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/N0LEU2JDRXs/hqdefault.jpg",480,360,"brummymummyof2","none",15379,928,15,0,127,10,2018
"19","rcJ8Dczw538","2012-11-13","UCEs6-iUDM8Sje4W7x2IKTWw","autodesk inventor copy a tube and pipe run","Video from http://www.CADlineCommunity.co.uk I have recorded a quick tips and tricks video for Inventor Tube & Pipe Users. This is a snippet of an exercise ...","https://i.ytimg.com/vi/rcJ8Dczw538/default.jpg",120,90,"https://i.ytimg.com/vi/rcJ8Dczw538/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/rcJ8Dczw538/hqdefault.jpg",480,360,"Cadline","none",6682,11,1,0,0,11,2012
"20","oydlWcycmLc","2014-12-05","UC2QfralkpSNApY81B8Fp8Eg","the beginner 39 s guide to sewing episode 16 letting out and taking in side seams part 1","https://www.sewingpartsonline.com/?utm_source=Youtube&utm_medium=product Hey, Everyone! Welcome back to the BGTS series! We're moving forward with ...","https://i.ytimg.com/vi/oydlWcycmLc/default.jpg",120,90,"https://i.ytimg.com/vi/oydlWcycmLc/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/oydlWcycmLc/hqdefault.jpg",480,360,"Sewing Parts Online","none",31394,233,6,0,16,12,2014
