channel,section,playlist,video,link,time,views,publication date,likes,dislikes,description
Apple,Discover More,Apple Music,Apple Music — Before Anythang: The Cash Money Story — Trailer,https://youtu.be/x_iln2hTOwY,1:01,441744, veebr 2018,1339,373,"Watch 2/16. Only on Apple Music.Start a free Apple Music trial now: https://apple.co/beforeanythingListen to the Birdman Essentials playlist on Apple Music: https://apple.co/BirdmanBefore Anythang is the untold story of Bryan “Birdman/Baby” Williams and his life before he founded Cash Money Records with his brother, Ronald Williams. As narrated by Bryan and with interviews from family and friends, this in depth documentary explores the journey of one of the most successful rap label owners and entrepreneurs in modern music history. From the death of his mother when he was a small child to learning how to hustle at the feet of his father; from the streets of New Orleans to traveling the world, Bryan created the world he envisioned as a boy. His is the great American success story. From humble beginnings emerges the legend, this is the story of how it all began."
Apple,Discover More,Apple Music,Apple Music — Up Next: Stefflon Don — Trailer,https://youtu.be/6M-0DGQp-6s,1:01,113149, jaan 2018,1768,263,"Watch only on Apple Music: https://apple.co/UpNextStefflonDonLondon MC Stefflon Don delivers swift, swaggering rap verses in a snarling Jamaican patois. With seemingly effortless rhythmic precision, she challenges gender norms and crosses genres–UK rap and Jamaican dancehall, specifically–earning her comparisons to Young M.A and Nicki Minaj. Her punchline-packed hit “Real Ting” sees her shake off body shamers, mansplainers, posers, and copycats with supreme confidence, making it easy to see why she's one of hip-hop’s most promising newcomers."
Apple,Discover More,Apple Music,Apple Music — The Thrill of It All Live: Sam Smith — Trailer,https://youtu.be/HkAU4TeK9jw,0:58,195606, dets 2017,1677,368,"New Album and Exclusive Film. Only on Apple Music: http://apple.co/SamSmithConcertFilmIn this exclusive concert film, Sam Smith celebrates his second album’s release with an intimate, one-of-a-kind set in London—replete with a choir and cameo by Yebba. From singles new and old to a stately, piano-driven reimagining of his 2013 star turn on Disclosure’s “Latch”, it’s a glowing testament to the power of Smith’s voice and songwriting."
Apple,Discover More,Apple Music,Apple Music — Who Built the Moon Live: Noel Gallagher — Trailer,https://youtu.be/xHHlNz6Px84,1:04,68798, dets 2017,733,204,"New Album and Exclusive Film. Only on Apple Music: http://apple.co/NoelGallagherConcertFilmIn this exclusive concert film, Noel Gallagher performs a spirited set at London’s York Hall. It’s a career-spanning triumph that includes classics from the Oasis songbook—“Champagne Supernova” and “Don’t Look Back in Anger”—as well as Who Built the Moon? highlights like “Holy Mountain,” a song Gallagher’s deemed one of the best he’s ever written."
Apple,Discover More,Apple Music,Apple Music — Sam Smith: On the Record — Trailer,https://youtu.be/PSbKnhBdWmw,1:01,344290,nov 2017,2780,542,"Stream the new album & exclusive film now on Apple Music: http://apple.co/The_Thrill_Of_It_AllThrough candid interviews and behind-the-scenes footage, this exclusive film finds Sam Smith reflecting on the making of his sophomore album The Thrill of It All."
Apple,Discover More,Apple Music,Apple Music — ’Twas the Night Before Christmas with Gwen Stefani,https://youtu.be/KbW_XeEWzQ0,1:00,5074159, dets 2017,20 398,10 938,The stockings were hung by the chimney with care…Listen to Gwen Stefani's You Make It Feel Like Christmas now on Apple Music: http://apple.co/GwenChristmas
Apple,Discover More,Apple Music,Apple Music — Carpool Karaoke — LeBron James and James Corden,https://youtu.be/WvHXhiFpuCg,0:32,243632, okt 2017,1626,326,"Available Tuesday 10/31. Only on Apple Music.http://apple.co/_CKGo on a star-studded, song-filled car ride in Carpool Karaoke: The Series from Apple Music. Each episode will feature celebrity pairings—from Alicia Keys and John Legend to Billy Eichner and Metallica—sharing a car, singing along to their personal playlists, and embarking on adventures."
Apple,Discover More,Apple Music,Apple Music — Major Lazer: Give Me Future — Official Trailer,https://youtu.be/t4NKf2jZ2Kw,2:09,703591, okt 2017,4486,1430,"Watch Now. Only on Apple Music: https://apple.co/givemefutureIn March 2016, following the restoration of diplomatic relations between Cuba and the United States, electronic dance music trio Major Lazer made history, becoming one of the first major American acts to play in the communist state. Unsure how their descent on Havana would be received and hoping to reach a few tens of thousands, the epic concert unexpectedly drew in close to half a million fans. Much more than a garden variety music film, “Give Me Future” begins as a behind-the-scenes look at the historic concert and evolves into a masterful exploration of Cuba’s inspirational youth movement and its ingenious DIY information culture. Capturing exhilarating performance footage and authentic stories highlighting the country’s cultural growth and desire for inclusion in the global community, director Austin Peters conjures a transcendent, rhythm-laced depiction of the powerful catalysts driving a country on the brink of change."
Apple,Discover More,Apple Music,Apple Music — Bang! The Bert Berns Story,https://youtu.be/ZwMu1IGwJK4,2:01,112269,okt 2017,960,274,"Watch the film 10/24 on Apple Music.Music meets the mob in this biographical documentary, narrated by Steven Van Zandt, about the life and and career of Bert Berns, the most important songwriter and record producer from the ‘60s that you’ve never heard of.   His hits include “Twist and Shout”, “Hang on Sloopy”, “Brown Eyed Girl”, “Here Comes the Night” and “Piece of My Heart”. He helped launch the careers of Van Morrison and Neil Diamond and produced some of the greatest soul music ever made.  Filmmaker Brett Berns brings his late father’s story to the screen through interviews with those who knew him best, and rare performance footage.  Included in the films are interviews with Ronald Isley, Ben E. King, Solomon Burke, Van Morrison, Keith Richards, and Paul McCartney."
Apple,Discover More,Apple Music,Apple Music — Carpool Karaoke — Tyler Perry and Neil Patrick Harris Preview,https://youtu.be/TeI8cp43VZ0,0:32,119361,okt 2017,876,221,"Available Tuesday 10/10. Only on Apple Music.http://apple.co/_CKGo on a star-studded, song-filled car ride in Carpool Karaoke: The Series from Apple Music. Each episode will feature celebrity pairings—from Alicia Keys and John Legend to Billy Eichner and Metallica—sharing a car, singing along to their personal playlists, and embarking on adventures"
Apple,Discover More,Apple Music,Apple Music — Carpool Karaoke — Joe and Camila Preview,https://youtu.be/Wqk-Wlssiwk,0:32,244170,okt 2017,1705,409,"Available Tuesday 10/10. Only on Apple Music.http://apple.co/_CKGo on a star-studded, song-filled car ride in Carpool Karaoke: The Series from Apple Music. Each episode will feature celebrity pairings—from Alicia Keys and John Legend to Billy Eichner and Metallica—sharing a car, singing along to their personal playlists, and embarking on adventures."
Apple,Discover More,Apple Music,Apple Music — Carpool Karaoke — Chelsea Handler and  Blake Shelton Preview,https://youtu.be/wulpRlH7rRQ,0:33,116996, sept 2017,554,207,"Available Tuesday 10/3. Only on Apple Music.http://apple.co/_CKGo on a star-studded, song-filled car ride in Carpool Karaoke: The Series from Apple Music. Each episode will feature celebrity pairings—from Alicia Keys and John Legend to Billy Eichner and Metallica—sharing a car, singing along to their personal playlists, and embarking on adventures."
Apple,Discover More,Apple Music,Apple Music — Carpool Karaoke — Ludacris and Tyrese Preview,https://youtu.be/DMJ6vDi_Pzk,0:32,232507, sept 2017,1670,412,"Available Tuesday 10/3. Only on Apple Music.http://apple.co/_CKGo on a star-studded, song-filled car ride in Carpool Karaoke: The Series from Apple Music. Each episode will feature celebrity pairings—from Alicia Keys and John Legend to Billy Eichner and Metallica—sharing a car, singing along to their personal playlists, and embarking on adventures."
