"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"1013","Tp0eq-g-WkM","2019-11-05","UCiWLfSweyRNmLpgEHekhoAg","kyrie irving shows off his moves as he drops 39 points for the nets 2019 20 nba highlights","Kyrie Irving powers the Brooklyn Nets to a 135-125 win vs. the New Orleans Pelicans at home with 39 points on 13-of-21 shooting. He helps the Nets to improve ...","https://i.ytimg.com/vi/Tp0eq-g-WkM/default.jpg",120,90,"https://i.ytimg.com/vi/Tp0eq-g-WkM/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/Tp0eq-g-WkM/hqdefault.jpg",480,360,"ESPN","none",309657,1923,41,0,272
"1014","iQ7zFGJryIY","2019-07-07","UCOIaQxIvcpPjxgSaYmqaE6g","every nba team 39 s best ankle breaker since 2000","Don't you love it when you're watching a game and the defender trips over his own feet and ends up on the ground? Dunks are cool, but there is something ...","https://i.ytimg.com/vi/iQ7zFGJryIY/default.jpg",120,90,"https://i.ytimg.com/vi/iQ7zFGJryIY/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/iQ7zFGJryIY/hqdefault.jpg",480,360,"CoshReport","none",5903901,55276,2214,0,2592
"1015","QkFa3BDa0EE","2019-12-03","UCWJ2lWNubArHWmf3FIHbfcQ","nba top 5 plays of the night december 2 2019","Check out the top 5 plays of the night from around the league on Dec. 2 featuring Al Horford, Giannis Antetokounmpo, Matisse Thybulle and more! Subscribe to ...","https://i.ytimg.com/vi/QkFa3BDa0EE/default.jpg",120,90,"https://i.ytimg.com/vi/QkFa3BDa0EE/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/QkFa3BDa0EE/hqdefault.jpg",480,360,"NBA","none",599496,8051,137,0,280
"1016","CU3jXpbSPCA","2019-11-17","UCkKwKiajHDsliAhbHKp8bTA","nba ball hits face funny moments","NBA Ball Hits Face Funny Moments NBA Ball Hits Face Funny Moments #NBA #NBAFunny #NBAFaceBall For more information, as well as all the latest NBA ...","https://i.ytimg.com/vi/CU3jXpbSPCA/default.jpg",120,90,"https://i.ytimg.com/vi/CU3jXpbSPCA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/CU3jXpbSPCA/hqdefault.jpg",480,360,"NBA Funny","none",3798800,22093,801,0,708
"1017","tmeMcLNx8jo","2019-11-09","UCiWLfSweyRNmLpgEHekhoAg","d 39 angelo russell scores career high 52 in warriors wolves ot thriller 2019 20 nba highlights","D'Angelo Russell scores a career-high 52 points on 19 made field goals, but the Warriors fall short to the Minnesota Timberwolves in overtime, 125-119, ...","https://i.ytimg.com/vi/tmeMcLNx8jo/default.jpg",120,90,"https://i.ytimg.com/vi/tmeMcLNx8jo/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/tmeMcLNx8jo/hqdefault.jpg",480,360,"ESPN","none",452471,4048,100,0,637
"1018","TU-V8t_vrQs","2019-12-23","UCWJ2lWNubArHWmf3FIHbfcQ","nba top 5 plays of the night december 22 2019","Check out the top 5 plays of the night from around the league on Dec. 22 featuring Kristaps Porzingis, Jaylen Brown, Giannis Antetokounmpo and more!","https://i.ytimg.com/vi/TU-V8t_vrQs/default.jpg",120,90,"https://i.ytimg.com/vi/TU-V8t_vrQs/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/TU-V8t_vrQs/hqdefault.jpg",480,360,"NBA","none",377835,5525,126,0,208
"1019","ruvcsDhwPeA","2019-11-21","UC-XWpctw55Q6b_AHo8rkJgw","houston rockets vs denver nuggets full game highlights november 20 2019 20 nba season","Houston Rockets vs Denver Nuggets - Full Game Highlights | November 20, 2019-20 NBA Season #nba #mlghighlights #mlg.","https://i.ytimg.com/vi/ruvcsDhwPeA/default.jpg",120,90,"https://i.ytimg.com/vi/ruvcsDhwPeA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/ruvcsDhwPeA/hqdefault.jpg",480,360,"MLG Highlights","none",239310,1910,69,0,269
"1020","1TsUkR8nR7I","2019-05-29","UCWJ2lWNubArHWmf3FIHbfcQ","the best plays from the 2019 nba playoffs","Check out the best plays from the entire 2019 NBA Playoffs featuring Kawhi Leonard, Damian Lillard, Giannis Antetokounmpo, Stephen Curry and more!","https://i.ytimg.com/vi/1TsUkR8nR7I/default.jpg",120,90,"https://i.ytimg.com/vi/1TsUkR8nR7I/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/1TsUkR8nR7I/hqdefault.jpg",480,360,"NBA","none",5588625,25864,1050,0,852
"1021","M6eQxjQ65h0","2019-04-06","UCkKwKiajHDsliAhbHKp8bTA","nba best funny moments 2018 19 season","NBA BEST FUNNY MOMENTS 2018/19 Season NBA BEST FUNNY MOMENTS 2018/19 Season NBA BEST FUNNY MOMENTS 2018/19 Season ...","https://i.ytimg.com/vi/M6eQxjQ65h0/default.jpg",120,90,"https://i.ytimg.com/vi/M6eQxjQ65h0/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/M6eQxjQ65h0/hqdefault.jpg",480,360,"NBA Funny","none",14848931,87204,3507,0,1520
"1022","ESmaAyQjK4I","2019-08-30","UCWJ2lWNubArHWmf3FIHbfcQ","nba 39 s best 3 pointer of every team 2018 19 nba season","Check out the best 3-pointers from every team this season! Subscribe to the NBA: http://bit.ly/2rCglzY For news, stories, highlights and more, go to our official ...","https://i.ytimg.com/vi/ESmaAyQjK4I/default.jpg",120,90,"https://i.ytimg.com/vi/ESmaAyQjK4I/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/ESmaAyQjK4I/hqdefault.jpg",480,360,"NBA","none",2273062,27274,729,0,998
