title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
7,17,17059236,713271,13122,32991
11,26,89427,1006,117,449
3,29,68968,764,1559,410
11,24,665587,4312,334,201
13,13,1990284,11750,742,2280
3,26,2815447,9187,890,969
12,14,1053157,11058,422,810
11,27,125142,1117,107,117
16,27,194160,5494,95,735
9,24,735513,3113,701,156
9,26,128689,1341,230,117
18,26,358722,6685,283,466
13,25,286871,2283,146,208
9,25,43158508,97773,25662,1590
13,31,323229,1113,388,20
15,27,45745,483,55,63
14,25,36550,284,23,128
10,30,104834,1687,65,413
8,25,132353,1325,121,355
6,24,17759876,49988,15104,394
11,29,4183702,10066,4371,247
16,26,5744,116,11,52
5,26,177685,4027,311,0
22,24,160397,3054,114,309
9,14,291176,2057,96,301
12,33,22228,514,33,66
9,24,659875,7411,849,1908
8,28,95180,1906,94,324
8,25,220761,3913,626,344
4,21,101005,787,1240,454
5,22,2511984,11194,2852,3095
12,12,1739089,9346,527,1030
5,23,4742002,114318,2976,8520
15,26,537514,10792,262,1747
8,27,39308,1562,562,169
9,26,716645,12006,266,380
8,26,69954,1876,581,226
6,34,32317,1762,13,517
10,30,38285,804,803,181
10,21,33445,571,104,46
10,28,169961,2904,92,910
9,22,28140,621,27,216
12,22,59696,808,192,212
7,32,72835,1121,79,517
12,27,30954,1078,45,244
11,31,149767,2723,141,690
5,31,18314,392,8,133
6,27,1332640,23462,596,1609
8,23,49122,281,45,70
16,28,51084,644,55,185
6,26,122090,968,44,38
5,28,134911,5473,132,1200
13,13,1245422,8447,364,1226
5,23,322676,6714,220,613
19,31,46553,915,36,114
13,25,7912214,359620,24337,9709
8,26,158976,422,40,32
7,30,981939,2420,478,279
5,23,2758144,34061,979,2426
19,32,2122769,2626,390,52
5,17,448653,6903,1444,970
8,25,35142,212,13,4
13,13,2753823,17275,1058,3409
6,18,36697,46,7,NA
14,37,148513,307,111,4
9,31,14432,6,0,0
5,33,23519,189,68,125
13,13,3428813,20731,1094,3262
9,29,16607,409,189,49
14,30,74765,595,166,113
18,23,31489,385,38,53
9,26,187241,3938,306,362
13,32,95528,1254,309,6
7,30,102862,1641,120,311
12,31,96411,2798,122,233
10,27,78703,NA,NA,2
4,23,1617060,19457,2219,1210
8,26,261789,148,103,5
6,19,105973,277,30,20
5,2,149852,6963,400,978
16,28,643191,1247,193,27
7,27,72924,1067,67,137
9,29,31552495,15587,8730,670
6,31,69456,912,287,93
18,16,15900,NA,NA,53
14,26,104600,1174,211,317
5,25,1864152,48255,2165,5304
5,29,11075637,10098,2502,NA
8,30,405089,2829,327,381
34,23,800082,28565,673,1640
10,28,47376,843,101,234
7,21,33851,404,163,117
15,24,95538,775,66,89
7,20,8056,31,13,30
56,26,69169,1187,59,121
7,24,152000,1223,86,163
7,25,43251,534,146,115
10,30,42615,472,196,38
5,30,355587,551,81,22
13,25,91455,1756,91,489
15,25,57923,1643,56,247
9,23,79690,1657,83,287
6,29,6224,NA,NA,NA
9,27,3110059,38056,1614,2578
13,26,154091,284,80,15
10,30,37587,143,12,4
4,22,63596,231,16,3
22,20,43498,122,37,18
12,28,8394118,4826,2566,208
9,18,1621606,5038,941,293
12,0,13429,76,8,31
9,27,330404,353,106,6
9,28,1195867,30011,807,1149
11,30,100574,2197,49,908
8,31,556413,711,139,2
11,24,171254,682,97,42
11,28,262753,4208,511,621
3,0,35188,58,10,8
15,28,1640606,1871,1043,23
13,34,127763,NA,NA,18
16,31,8764043,58184,4492,316
13,26,336919,733,257,28
17,30,132023,NA,NA,60
15,23,123701,641,86,23
9,30,638040,773,514,175
23,30,63743,1616,191,183
6,31,102870,1876,75,79
11,25,70183,328,49,12
10,30,112412,1845,74,264
7,22,none,4565,9,0
9,8,115112,699,144,95
8,26,33154,139,36,134
5,27,NA,NA,NA,NA
10,4,68558,256,30,64
12,20,105486,2696,134,350
10,19,19660,158,14,24
16,25,64083,738,61,33
9,17,58127,64,25,1
14,20,5685,7,8,0
13,24,364581,2046,790,478
10,28,1210388,7799,2650,1481
8,12,62039,54,27,4
9,25,52690,53,41,1
9,18,1412511,1943,274,NA
15,18,27048,279,48,11
3,30,927128,2098,384,62
6,0,1398396,5139,694,262
12,29,12215,202,24,31
14,27,74327,630,38,107
23,29,5089177,15746,3215,306
8,29,4781806,1993,1224,66
8,24,54482,618,55,418
15,33,236715,152,37,20
14,20,5580,NA,NA,0
2,27,2889146,1816,917,105
18,29,11945,72,15,2
7,28,850766,25883,3916,10556
16,30,2003185,11186,993,1619
10,32,398535,8447,1520,3128
8,29,2968065,51603,1763,3838
13,26,206245,3291,574,778
13,28,546390,4858,333,601
7,27,488899,4852,365,909
8,29,1219392,24226,1271,1813
12,26,630061,4379,331,309
5,28,2807972,42878,2225,7474
6,30,205421,4467,169,1018
7,22,168097,1347,206,62
10,33,154530,1501,96,196
6,23,3415,67,2,29
9,29,960510,13564,920,2335
10,34,209837,4831,7898,3525
8,28,695540,11995,1050,2559
7,32,518695,12454,2077,3059
6,15,666592,3368,292,150
16,26,274983,2631,314,170
5,20,813707,21194,1200,2095
9,30,231037,4581,368,958
11,18,291432,5571,189,175
17,24,485616,13801,321,191
11,27,3259303,60010,2133,702
8,24,695215,7299,249,422
5,30,16760051,97927,3871,10313
13,24,484649,3002,175,598
8,22,1554276,5998,406,146
14,15,230780,1214,133,175
9,20,150514,901,128,589
4,31,1042653,35018,2699,4251
4,25,990250,14158,932,1926
12,25,87355,698,60,141
11,24,3856884,27823,1695,1659
5,27,6294789,39948,2894,18963
7,31,151360,4068,63,305
6,28,201613,3584,126,628
11,22,1078596,11193,1311,1749
5,23,1247,65,1,35
7,26,7494,193,24,77
6,31,59,6,1,3
5,19,3658,24,0,2
8,27,302,28,0,9
8,31,2351652,3850,845,55
8,31,746,18,0,2
13,26,22085,966,13,199
13,23,317011,2332,163,66
4,0,15,0,0,0
6,29,1811441,21454,2838,2463
6,29,469982,5754,394,654
3,24,869475,11047,517,1156
20,21,13163,739,25,164
3,4,7,1,0,0
9,27,1432,13,3,5
8,25,6848515,148706,17108,12844
5,8,9,1,0,0
8,21,119242,1059,59,216
6,24,50,7,0,0
11,34,15,NA,NA,1
8,25,86821,301,35,88
12,16,28,2,1,0
8,30,325473,5032,290,1114
5,17,1,0,0,0
6,28,6017048,46286,1560,12458
9,28,291308,4941,270,1330
9,26,751,7,3,5
12,28,255336,6763,125,832
7,16,121034,439,44,79
9,31,2337,NA,NA,NA
8,27,3940704,33468,1296,14450
6,31,1509637,12328,727,3447
11,31,14,3,0,0
7,34,3,0,0,0
6,34,32317,1762,13,517
4,0,7,2,0,0
5,27,398304,5403,465,1290
6,14,2,0,0,0
10,9,199,25,0,0
11,6,649,NA,NA,0
3,36,2,0,0,0
6,14,none,2,0,0
5,25,16837,429,40,43
10,29,78,6,0,0
5,19,10,2,0,0
7,12,2,0,0,0
10,31,93,2,0,0
12,24,50321,995,15,167
6,25,83342,954,270,144
3,12,4,1,0,0
3,20,75,9,0,1
9,35,477,NA,NA,NA
7,0,12,0,0,0
4,18,2815,20,0,4
