Title length,Description length,View Count,Like Count,Dislike Count,Comment Count,month,year
40,116,21824268,86266,19023,1759,10,2019
12,15,103031,2662,98,111,8,2019
45,17,20146415,79200,22421,857,12,2019
10,24,3952822,179299,5580,3420,2,2020
11,29,29582429,601065,20249,NA,4,2019
7,27,2153230,48411,1527,2169,1,2020
39,120,17217558,78862,18587,1394,2,2020
7,0,2509577,18074,648,883,12,2012
12,24,810075,4195,518,98,3,2017
16,27,349072900,912216,353861,13518,10,2018
10,23,12055542,39551,10003,908,9,2019
9,25,635678,57551,477,626,2,2020
7,24,7814344,129269,3075,770,6,2019
9,29,2295300,7079,1908,168,9,2019
68,74,15192423,58077,17713,1080,2,2020
20,25,766743,2882,748,112,1,2020
43,157,3312569,101821,2279,2564,1,2020
7,27,3394894,62202,2088,3095,12,2019
13,29,457592,4107,257,64,1,2020
11,22,2070784,55645,2264,965,7,2019
43,122,11273825,55837,12527,844,2,2020
9,23,1128490,10559,933,272,2,2020
80,126,2075872,10879,1523,377,1,2020
28,0,8712344,54207,8146,684,6,2019
13,27,3284264,8812,2235,161,11,2019
51,100,25234728,131930,29681,1403,2,2020
22,23,5422995,13508,4219,188,12,2019
23,21,1658938,4614,1579,95,1,2020
9,14,1494169,16044,1110,1153,5,2019
14,25,2382418,4339,1357,93,10,2019
21,19,2573347,6960,2042,151,12,2019
13,28,7759267,22503,5343,348,11,2019
14,24,1066404,11935,562,585,10,2019
44,118,11617556,55156,11605,1124,2,2020
6,27,1173463,4898,169,156,9,2016
8,29,4553826,63289,2585,3363,11,2019
10,26,5945483,335087,10574,12931,6,2019
15,29,4629887,11132,3047,205,12,2019
11,26,6028540,98977,3373,1714,10,2018
19,25,2943846,9884,2263,293,12,2019
12,22,239858,4228,248,229,9,2019
12,32,993679,39849,433,2174,2,2020
6,28,633694,6080,387,353,9,2019
13,25,2667286,124533,4498,4223,1,2020
10,23,79636,844,117,85,12,2019
10,22,1799807,30261,965,964,10,2018
11,26,4036831,79289,3257,1465,7,2019
10,27,207849,4738,373,377,10,2019
11,22,3869207,49944,2309,1837,10,2017
6,27,774520,10841,360,348,1,2020
21,21,5578454,8179,2839,124,1,2020
10,24,4552763,66647,4356,2326,10,2018
6,26,1173388,83375,1149,1206,12,2019
58,65,18260466,72357,18874,1442,2,2020
11,7,6739309,365453,5451,6683,1,2020
62,168,1237231,13151,3357,1056,12,2019
14,23,589695,12915,366,405,10,2019
79,121,7330042,130427,12660,4791,11,2019
14,24,71751,1045,106,107,2,2020
11,21,439607,10277,251,226,10,2019
7,17,4017757,69744,2205,4284,1,2020
5,24,8523241,116333,11462,14264,12,2019
38,178,14976798,94388,12707,1494,3,2018
96,0,19468107,84348,9721,652,3,2019
8,22,2552129,87484,5689,3788,12,2019
7,19,180294,8858,285,410,10,2019
10,24,2180084,8783,843,373,5,2017
10,22,278863,8425,281,384,12,2019
11,24,2162180,14515,1199,516,10,2019
10,28,2622393,56281,2935,2278,10,2019
11,23,2305733,4896,987,276,2,2011
8,18,1283164,1571,404,82,5,2015
56,0,9250584,136157,6091,4187,12,2019
36,41,898408,22960,1497,1237,2,2020
6,18,312792,9979,518,NA,7,2018
13,52,851066,1789,469,113,10,2013
9,24,219180,10436,429,376,5,2019
9,26,1031679,2728,650,77,7,2013
59,121,5972437,113903,10575,2702,10,2019
13,25,11903349,42534,2726,1446,8,2016
67,121,7737093,132327,7191,2325,9,2019
5,26,1261521,98727,976,2039,2,2020
59,65,9865236,30188,9531,574,2,2020
14,27,54396922,190887,32311,7910,7,2018
13,26,659958,3544,455,192,2,2017
4,6,493503,1764,62,136,7,2012
66,72,4813050,22970,5354,576,2,2020
12,24,305937,3674,227,55,1,2020
50,26,188174,660,73,19,1,2020
9,22,111119,6873,446,402,5,2019
9,18,188690,857,183,32,12,2015
7,10,310919,1051,37,267,11,2010
14,23,557797,958,283,44,12,2011
7,31,17106653,225657,3596,7732,12,2014
15,27,7283923,17572,4794,699,5,2017
11,23,245239,13703,512,413,7,2019
5,19,149396,7662,226,255,10,2019
11,23,57305,647,36,5,11,2019
14,21,3750574,17024,2392,1064,6,2018
12,26,12541398,28609,7745,1288,12,2015
14,26,498915,2291,172,130,4,2014
8,19,98350,6225,326,492,3,2019
50,26,66139,398,25,28,1,2020
12,26,5278555,14731,2472,71,10,2013
4,25,65352,14,0,0,1,2015
12,26,2399699,8179,1482,507,5,2014
9,0,24638,835,11,22,1,2018
6,16,15843,NA,NA,0,1,2012
12,26,2834856,9890,1621,26,11,2012
4,23,440678,8104,260,112,1,2020
10,26,830286,3140,507,11,10,2011
15,25,986864,1525,431,90,3,2019
50,26,47248,243,22,6,12,2019
7,23,339308,2396,138,316,2,2020
16,31,21826061,71463,11982,2637,4,2018
5,18,17487,90,1,3,7,2010
9,26,2141602,7999,1264,24,10,2011
6,18,362579,6496,535,NA,3,2018
8,20,72861,6377,139,219,12,2019
74,13,129842,997,64,17,1,2019
7,19,250368,2344,90,NA,7,2018
12,25,362887,8010,445,2108,1,2020
4,2,311563,675,56,167,12,2010
13,21,99070,226,54,8,5,2016
38,22,947080,3077,428,318,8,2014
7,19,238931,7000,304,261,3,2019
48,121,10552502,171594,9741,5887,12,2019
4,10,232143,132,37,17,1,2012
3,0,202684,515,66,15,5,2010
6,0,57531,277,23,4,1,2014
8,23,18886,158,11,9,6,2015
4,10,16669,116,2,3,9,2012
28,23,157388,6842,268,216,8,2019
11,26,411657,710,151,38,8,2015
7,77,992519,3994,519,239,2,2018
10,18,45117,150,26,7,10,2018
7,26,3785119,196151,2977,5168,2,2020
74,71,100791,409,86,26,6,2018
9,18,249964,6404,464,NA,4,2018
24,0,24232,659,12,34,8,2017
8,19,156445,12837,466,437,8,2019
30,25,1235848,4050,830,379,8,2014
9,27,49695,95,17,4,10,2017
6,18,333681,11109,788,511,12,2018
12,25,1452564,10246,832,231,4,2018
17,22,995431,2129,656,111,8,2013
3,29,16434,27,5,9,11,2016
12,26,3389410,6406,1090,225,7,2014
6,19,108311,4901,195,328,3,2019
7,13,55380,541,27,9,4,2016
12,25,26841,5,0,0,9,2015
9,33,261861,297,154,0,1,2018
6,28,5089,9,2,6,3,2010
8,35,59984,640,28,34,9,2017
8,23,42411,NA,NA,NA,1,2017
12,14,34315,234,12,12,11,2012
9,23,328376,223,11,19,4,2009
50,26,87733,389,43,8,12,2019
8,28,2224547,147,11,7,2,2018
13,24,1288583,4711,851,501,11,2017
13,26,236185,350,149,7,10,2018
15,28,1846317,5484,1092,367,7,2017
14,26,818426,1588,447,31,8,2017
6,16,763291,2527,421,304,6,2014
5,24,302733,6240,270,359,2,2020
49,58,204641,1832,281,65,3,2020
21,25,7650616,29448,5710,484,10,2019
16,23,3287508,73558,2654,1928,11,2019
8,25,8050241,13186,3992,114,12,2014
20,25,955246,3013,783,79,11,2019
34,49,1772338,5916,1293,147,11,2019
8,22,109468,157,49,4,2,2019
10,23,1115391,49716,717,1485,11,2019
14,21,2767928,2078,991,72,7,2018
12,28,4401994,3886,1553,262,10,2018
18,29,17703191,52581,11978,950,9,2019
9,31,11956897,13162,4652,386,8,2018
15,29,7207721,20238,4848,290,11,2019
15,28,11645482,24153,9054,521,2,2019
6,28,5534,125,9,23,12,2012
10,33,26490560,143219,21956,5026,3,2019
6,3,13130,23,12,1,12,2008
7,26,7455,110,1,22,12,2012
9,26,12615762,77909,2435,5191,8,2014
9,28,183172,2165,673,486,8,2018
6,26,62,1,0,NA,4,2019
12,25,988,5,2,1,1,2018
4,24,14086,94,0,7,12,2008
12,23,18978851,39517,19128,209,9,2018
2,24,6538,196,3,53,4,2013
9,31,49044,828,18,83,10,2018
13,28,51818,669,35,89,3,2019
3,30,21294,63,1,NA,10,2009
9,31,21278,326,11,54,9,2018
12,25,320344,1163,14,99,6,2013
13,22,99943,1483,75,267,9,2018
6,20,51448,1919,33,166,3,2019
9,16,208938,682,77,39,9,2018
