video_id,duration,viewCount
YhOf0H_gLP8,3.38,159002
GyK8iEO5-GI,2.16,295903
kJVciTqsUAo,8.03,91457
HxvLdgfp0m8,10.11,57924
64rbkgQtczQ,4.3,69169
Ha5C7FY6C4Y,1.5,1617084
g6m4FvDP_Gs,6.16,358834
Oz_9PMI8U0Y,8.48,1332661
MmLMU8BqyKw,4.08,333667
kWPdG7mHyZ0,5.49,9595
MHc-p0C15RI,3.2,15901
ExigZ5RS9uM,0.38,57137
ebdXDm2EjAM,11.3,800289
_-zzAjt0Fh4,12.47,46575
Q44ulHb9S_M,9.32,188092
fS60rraBhz4,1.1,306896
RV1hmoWOA-M,11.26,638043
NDqbCfplYrg,2.17,251001
zYiggvLG86g,15.27,659877
bgSjFFINi50,10.2,5744
ltb2MdZf-nU,0.33,31034
CJly8FxR7-o,20.17,8064
h1lBx-C1BIU,10.15,20797
8pheopD3OUM,10.43,39427
r0QhYKvFa7g,5.27,95185
OPKfK4__mE4,7.28,1436
iyEshZNEDp0,2.4,6228
bqob7xWXqZw,17.01,136783717
AVjvswqL-Ow,2.47,212087
B-83WJMAjMA,10.22,8394755
b52jod046pQ,4.12,2178
8J_3l1jwt6Q,7.4,58465
tD9ZCjYr0HI,0.27,24138
6qZiZRJskog,11.55,100577
YI6VitCyHoc,6.34,106020
pcvTBmsPotU,18.57,2164159
2KL7DhlK8gQ,10.04,552602
neRjnJ4SWMk,4.36,43253
FDP0mbsVX9A,4.54,37599
fB5bH8e687E,33.24,75219
oXwdfqqmF40,1.5,78713
UotAHTL-IFk,1.32,336944
jNeOIPxSq9g,1.39,1641154
uMIQvbuyOvo,21.09,1544897
amvSgaZn-CY,1.21,171267
XBwOPjOg7Wo,13.42,430688
Qqtgpw21lr4,16.4,22228
nnmSXvTWBQs,13.33,102888
Isqa-FrkBo8,10.23,226796
2zWSNHuqtPA,5.46,50378
_Jvl6PXYd10,5.02,330409
0KBLgJ6UCJ0,1.26,556426
ZuVMm3EKSss,3.51,63616
0R2ZPyIfo4Y,15.59,144697
mVjdNfM62KY,11.02,47376
f9unk6icuG0,2.03,154120
Un9Qem5awl8,17.44,1195871
zq4WDmWgjSU,1.17,38467
H2-REbL2OU0,8.11,3110522
mQdG7kDwumA,22.22,558185
oCBbRXbbDsg,3.05,39371
RuELTTj9CoI,2.38,40355
IrddVOQj76Q,11.32,40920
RRXU5Ms5ZAY,nan,33853
8gbTD8rJhXA,3.16,35197
a5PpErk_Q3o,0.33,30773
ZOa8YI--pwY,14.33,71301
BcZrykfBebU,11.44,51098
FOwpojTpmVg,2.36,11090
TmiyB1RIMjE,10.16,187355
k1-fBugCTB8,nan,8764260
aqIa6iYfyJ4,0.54,235792
eXG86i9Ns_c,28.12,43508
anDkS4aJYxM,1.28,261803
DuVeVw2ArAI,1.18,152242
BJKSHoVwSEc,2.52,112891
sm3N3x5icJw,15.01,175423
SOTEc7rhYSQ,2.02,70197
jtvYXSSIFYE,5.59,13429
xJp-0L0lNBQ,2.47,1210480
SzfFzJGwwZQ,1.36,1412559
PI0keooEPyM,10.59,79706
-I_CIy3Uqx0,1.38,NA
2siblr-8y0o,nan,786180
u8tpjZtx9WQ,1.24,26726
4EsPtTkwNIo,3.12,62050
gt2-oP6oBXk,3.01,6547260
3y_f7p9CHxI,4.4,1840347
wD48F5uemm4,2.15,127808
psuNxCyO2lQ,16.5,262776
Joj6wLOfNys,17.3,1290873
AfEAVguZV08,3.13,112416
fArUfjjTpHw,10.36,32648
wU4-5JdVCsA,9.08,1399240
liP5GecvBQk,3.01,64113
0CWWNzprEQ4,2.12,927247
evDuqXTfhkA,1.53,1398417
O2IkzZjUwHs,6.51,128703
UWh5YF0qgtk,0.39,68563
1Vf_VYfJJhI,3.29,52695
3eZI7DMPVO0,6.36,107959
Y6EAD-6fmjw,1.35,58133
4ilGm8cD77c,5.21,16400
c9I_oTP5aMA,5.22,33163
fSN6awtvbOc,5.43,63750
euSrhAYhNDU,11.03,11928
rjUsuKbhqxk,3.02,37580
NIV-FQkIgYw,4.57,364582
5CM1qZ6qAi0,2.42,12219
xrg3lPw9CFg,2.18,192980
YxRnzGtfIi0,2.41,313417
Y1dhm1D7ync,1.19,5685
jVRlcuaFXBY,4.04,8404
