"Title","views","Publisher","Time","Duration","Like","Dislike"
"Opening Ceremony Presented by Mastercard | Finals | 2018 World Championship","6,536,732 views",,,"15:49","127K","2.4K"
"Colombia v Japan - 2018 FIFA World Cup Russia™ - Match 16","16,506,016 views",,,"2:10","79K","5K"
"Senegal v Colombia - 2018 FIFA World Cup Russia™ - Match 48","7,570,230 views",,,"2:10","35K","2.9K"
"World Cup 2018 ● Group F Extended Highlights ● Wavin' Flag","137,908 views",,,"11:54","2K","46"
"Colombia v Spain  - FIFA U-17 Women’s World Cup 2018™ - Group D","191,236 views",,,"2:29","1.6K","90"
"Mexico v Sweden - 2018 FIFA World Cup Russia™ - Match 44","10,554,794 views",,,"2:10","50K","3.5K"
"Egypt v Uruguay - 2018 FIFA World Cup Russia™ - MATCH 2","16,203,517 views",,,"2:10","70K","6.4K"
"England ● IT'S COMING HOME  - World Cup 2018","2,709,528 views",,,"10:29","19K","987"
"Kylian Mbappé vs Argentina (World Cup 2018) HD 1080i","10,456,927 views",,,"10:01","70K","5.7K"
"Australia v Peru - 2018 FIFA World Cup Russia™ - Match 38","5,849,365 views",,,"2:10","32K","1.6K"
"Argentina v Iceland - 2018 FIFA World Cup Russia™ - MATCH 7","17,477,929 views",,,"2:10","77K","5.3K"
"Costa Rica v Serbia - 2018 FIFA World Cup Russia™ - Match 10","7,862,267 views",,,"2:01","38K","2.5K"
"Sweden v Korea Republic - 2018 FIFA World Cup Russia™ - Match 12","9,088,416 views",,,"2:10","33K","2.6K"
"2018 Pokémon World Championships: VGC Masters Division Finals","1,487,095 views",,,"28:50","15K","651"
"World Cup 2018 - Russia - ""THE MOVIE"" - HD","16,536 views",,,"12:00","412","5"
"China v USA - Full Game - FIBA Women's Basketball World Cup 2018","148,181 views",,,"1:40:12","980","55"
"Russia v Egypt - 2018 FIFA World Cup Russia™ - Match 17","10,114,293 views",,,"2:10","48K","3.2K"
"Croatia v Nigeria - 2018 FIFA World Cup Russia™ - Match 8","11,506,736 views",,,"2:10","45K","3.2K"
"World Cup 2018 ● Brazil The Journey ● Extended Highlights & All Goals ● Wavin' Flag","70,021 views",,,"12:29","1.2K","69"
"Neymar vs Costa Rica (World Cup 2018) HD 1080i","4,259,677 views",,,"11:46","37K","2.4K"
"India Win U19 World Cup! | India vs Australia | U19 Cricket World Cup 2018 FINAL - Highlights","19,628,293 views",,,"4:55","159K","8K"
"Neymar vs Belgium (World Cup 2018) HD 1080i","3,648,032 views",,,"11:26","31K","2K"
"WORLD CUP HERO: PAUL POGBA","101,489 views",,,"1:15","Like","Dislike"
"TOP 20 SAVES • FIFA World Cup 2018","561,383 views",,,"3:14","4.8K","244"
"IFSC Climbing World Cup Meiringen 2018 - Bouldering - Finals - Men/Women","364,537 views",,,"3:33:17","1.2K","76"
"Mali v USA - Full Game - FIBA U17 Women’s Basketball World Cup 2018","28,777 views",,,"1:39:54","180","6"
"FNC vs. IG | Finals | World Championship | Fnatic vs. Invictus Gaming (2018)","637,697 views",,,"4:41:48","4.5K","232"
"Kylian Mbappé vs Croatia (World Cup Final 2018) HD 1080i","822,747 views",,,"10:07","8.1K","391"
"Panama v Tunisia - 2018 FIFA World Cup Russia™ - Match 46","5,917,844 views",,,"2:10","27K","1.4K"
"Philippines v Serbia - Full Game - FIBA 3x3 U23 World Cup 2018","264,125 views",,,"20:41","734","102"
"Chhota Bheem - Football 2018 World Cup","8,762,455 views",,,"10:15","28K","7.9K"
"Denmark v Australia - 2018 FIFA World Cup Russia™ - Match 22","6,217,026 views",,,"2:10","27K","1.6K"
"Best Skills of Lionel Messi in the 2018 World Cup","910,328 views",,,"3:44","13K","596"
"Japan v Poland - 2018 FIFA World Cup Russia™ - Match 47","7,954,164 views",,,"2:10","36K","6K"
"Uruguay v Russia - 2018 FIFA World Cup Russia™ - Match 33","11,303,075 views",,,"2:10","51K","2.9K"
"Uruguay v Russia - 2018 FIFA World Cup Russia™ - Match 33","11,303,075 views",,,"0:21","51K","2.9K"
"China v Japan - Full Game - FIBA Women's Basketball World Cup 2018","55,980 views",,,"0:06","251","69"
"France v USA - Condensed Game - FINAL - FIBA U17 Basketball World Cup 2018","137,489 views",,,"9:45","508","26"
"Australia v Netherlands | Odisha Mens Hockey World Cup Bhubaneswar 2018 | HIGHLIGHTS","226,718 views",,,"4:32","1.6K","50"
"2018 FIFA World Cup Russia™ - OFFICIAL TV Opening (EXCLUSIVE)","5,417,767 views",,,"0:45","81K","4.8K"
