video_id,duration,likeCount
YHoKzaZj_zA,2.32,293
MVKIlcA0zso,3.4,3167
noHAYjTjJKw,0.16,NA
n9gusH0_r6o,3.22,26
_0BEgP9dW2M,2.33,34
2c18PX9acwU,22.52,601667
Q9y3VRWYtGE,6.55,23227
poe7_g4M1p4,0.21,353
oc--nnT7iNQ,22.08,114
KoTUrYdP1Pw,12.24,2125
sW-3ewYQSPA,nan,30276
OreTHMH4z6s,2.16,4106
nxYT74lrvps,33.05,2512
NQcwgZbgLj4,19.54,206396
bb6jN8btf8U,13.52,31606
FAI-k565prY,5.18,288
95r1gyjT1sU,4.17,238621
cRzW52kjKJ0,13.44,148
e9Uu3ujJo-o,16.01,187
SbxYOlgJhAM,21.44,174423
79lpSvgChLg,10.08,32764
tJLZ9TZxq_M,10.17,472
CwLoXTs_oKY,13.44,362
UNHtj7QtCdk,10.43,15225
_axbVRKhPgo,20.38,2690
XgCyAG-A0GA,4.01,423666
8-12HY-j_IE,0.19,53
H78_qMqbZw0,47.42,2
7xMJB3dKQzg,11.38,1220
TuSX5y79h-k,34.28,56
6yH5JbzaNrw,10.27,51718
uw1tuzWm9GE,0.31,59366
NgLCn9WneGY,14.36,138
47FCm_n6SK0,2.2,37115
2gSfQ2_Atqs,33.06,13
lrbZOeX4isM,9.54,3418
rdpFbFsxgOs,11.53,193
J1SOfPwMDhQ,0.39,254
asSxSQxZMu0,25.5,267
xzaNqjc4fkE,6.29,60146
7qQNLdfyUX4,33.13,1095
cT18Mrh5Gos,14.43,14957
Xvly_xY3nVw,0.31,2502
yEISuV51jtk,2.42,3
kzRqTIhA3AI,14.53,24876
jymiJAkYKts,1.59,4715
epMAq5WYJk4,11.32,4415
aldO3cHhNLQ,10.57,20242
Bz1oyrWVTwI,2.16,6940
OYiQOr7GFb0,24.08,81
NuBaoxW4Olc,10.52,45369
n10uyii_O6o,1.11,283
WvLqdOkdRbk,12.11,31
7kZRHxlvvUc,15.56,445
gL-snXsliDA,3.01,2454
M-aPgkvsmo8,1.57,4
fZ38BLzcrX8,24.51,69
PKz70B4O4ig,14.27,25454
pmLCSnX6Mh0,20.1,55303
0dcRFFgpPuM,17.2,1842
Gehr1AgEF20,11.46,16419
O5jeFXIyvOk,2.29,44883
1QWLyi03twg,14.56,4684
0n9ITSKRAMA,2.1,25914
vG3q82tse08,3.21,3098
1uZn6kL9Z6k,9.57,2881
4zN6mEQ8m9A,24.27,12666
eYYM2yVQUAc,14.5,5276
ZIkWkEqIHBg,2.2,50540
it1CG6rKB5o,12.03,928
VyXTm75-vrw,13.2,19952
Wwy4nS0bF9E,10.33,36393
2yXNrLTddME,10.27,24853
FI2rCvQFWcc,31.4,12249
PKRwlFFc49I,13.51,32709
9Q1-CBB3hrE,10.34,5376
rsDU-QsfkX4,14.23,1340
6VtdcqNX9JY,15.25,25015
jZHl2st110k,12.42,19559
l04-h1feTDU,nan,279118
