"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"ZHBYGpAlNog","2018-04-09T16:24:00.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","He Was Never There, Docupoem","The Weeknd - He Was Never There Director: Joachim Johnson Producer: Rebecca Hearn Editor: Dylan Coughran Scoring: mybestfriendjacob My Dear ...","https://i.ytimg.com/vi/ZHBYGpAlNog/default.jpg","120","90","https://i.ytimg.com/vi/ZHBYGpAlNog/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ZHBYGpAlNog/hqdefault.jpg","480","360","The Weeknd","none",2364999,127001,1328,0,7679
"6FFSCF0gXt0","2011-12-31T07:26:39.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - XO / The Host","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/6FFSCF0gXt0/default.jpg","120","90","https://i.ytimg.com/vi/6FFSCF0gXt0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/6FFSCF0gXt0/hqdefault.jpg","480","360","The Weeknd","none",6938117,33926,785,0,2789
"FXT1oKrgq0o","2011-12-22T22:35:25.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - D.D.","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/FXT1oKrgq0o/default.jpg","120","90","https://i.ytimg.com/vi/FXT1oKrgq0o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/FXT1oKrgq0o/hqdefault.jpg","480","360","The Weeknd","none",5734052,40302,1784,0,3127
"vPp5Ty9EE6k","2012-02-24T09:13:18.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - The Knowing (Official Video)","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/vPp5Ty9EE6k/default.jpg","120","90","https://i.ytimg.com/vi/vPp5Ty9EE6k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/vPp5Ty9EE6k/hqdefault.jpg","480","360","The Weeknd","none",6284410,45504,1112,0,5647
"_bSXY75R3Wc","2011-08-19T18:24:56.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Life Of The Party","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/_bSXY75R3Wc/default.jpg","120","90","https://i.ytimg.com/vi/_bSXY75R3Wc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/_bSXY75R3Wc/hqdefault.jpg","480","360","The Weeknd","none",3747234,16852,334,0,1154
"CqHKfscXS64","2011-08-20T04:26:03.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Gone","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/CqHKfscXS64/default.jpg","120","90","https://i.ytimg.com/vi/CqHKfscXS64/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CqHKfscXS64/hqdefault.jpg","480","360","The Weeknd","none",11699000,58077,1660,0,3816
"jxhjY8e7CRY","2014-04-29T01:43:28.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd Backstage Warmups","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/jxhjY8e7CRY/default.jpg","120","90","https://i.ytimg.com/vi/jxhjY8e7CRY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jxhjY8e7CRY/hqdefault.jpg","480","360","The Weeknd","none",2809790,38139,351,0,3069
"yI-zb_aP0So","2011-03-21T03:45:39.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - The Party &amp; The After Party","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/yI-zb_aP0So/default.jpg","120","90","https://i.ytimg.com/vi/yI-zb_aP0So/mqdefault.jpg","320","180","https://i.ytimg.com/vi/yI-zb_aP0So/hqdefault.jpg","480","360","The Weeknd","none",19331693,82501,2119,0,5977
"dXbJ8-38yHw","2011-08-19T23:58:07.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Heaven Or Las Vegas","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/dXbJ8-38yHw/default.jpg","120","90","https://i.ytimg.com/vi/dXbJ8-38yHw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dXbJ8-38yHw/hqdefault.jpg","480","360","The Weeknd","none",2299387,11327,285,0,1082
"6CnP8ghhZPQ","2015-11-06T05:00:00.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Can&#39;t Feel My Face (Martin Garrix Remix)","Download/Stream Here: Music / iTunes: http://republicrec.co/CFMFGarrixRemix Music / Apple: http://republicrec.co/CFMFGarrixRemixAM Amazon: ...","https://i.ytimg.com/vi/6CnP8ghhZPQ/default.jpg","120","90","https://i.ytimg.com/vi/6CnP8ghhZPQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/6CnP8ghhZPQ/hqdefault.jpg","480","360","The Weeknd","none",3931628,52941,1092,0,1430
"HqyBbd2ZMBw","2012-11-08T06:50:10.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - The Zone feat. Drake (Official Video)","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/HqyBbd2ZMBw/default.jpg","120","90","https://i.ytimg.com/vi/HqyBbd2ZMBw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HqyBbd2ZMBw/hqdefault.jpg","480","360","The Weeknd","none",5935665,35438,935,0,3194
"2fhjdtQDcOo","2015-10-20T22:31:42.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - The Hills remix feat. Eminem ( A Virtual Reality Experience)","Presented by Apple Music x GoPro x United Realities x Nabil GoPro spherical content requires Google Chrome or the YouTube App on Mobile. For mobile, best ...","https://i.ytimg.com/vi/2fhjdtQDcOo/default.jpg","120","90","https://i.ytimg.com/vi/2fhjdtQDcOo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2fhjdtQDcOo/hqdefault.jpg","480","360","The Weeknd","none",2641685,32699,1316,0,2107
"eN84vAqO9NY","2013-05-16T23:50:56.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Kiss Land","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/eN84vAqO9NY/default.jpg","120","90","https://i.ytimg.com/vi/eN84vAqO9NY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/eN84vAqO9NY/hqdefault.jpg","480","360","The Weeknd","none",10343225,61694,2176,0,7699
"PrwB6qsL6fU","2015-11-06T05:00:03.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - The Hills (RL Grime Remix)","Download/Stream Here: Music / iTunes: http://republicrec.co/TheHillsRLGrimeRemix Music / Apple: http://republicrec.co/TheHillsRLGrimeRxAM Amazon: ...","https://i.ytimg.com/vi/PrwB6qsL6fU/default.jpg","120","90","https://i.ytimg.com/vi/PrwB6qsL6fU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PrwB6qsL6fU/hqdefault.jpg","480","360","The Weeknd","none",2374997,29422,718,0,758
"VwvL1Yvp72M","2014-04-26T18:53:04.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd x Paris","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/VwvL1Yvp72M/default.jpg","120","90","https://i.ytimg.com/vi/VwvL1Yvp72M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VwvL1Yvp72M/hqdefault.jpg","480","360","The Weeknd","none",305351,3203,66,0,194
"Q277kO4OREQ","2012-05-10T06:29:05.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd x Club Paradise","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/Q277kO4OREQ/default.jpg","120","90","https://i.ytimg.com/vi/Q277kO4OREQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Q277kO4OREQ/hqdefault.jpg","480","360","The Weeknd","none",467543,4696,75,0,832
