video_id,comment_text,,,,,,,
hzGrwaFztrE,Great movie, just keep watching,,,,,,
hzGrwaFztrE,Wonderful??,,,,,,,
hzGrwaFztrE,just wow Amazing :) ilove it,,,,,,,
hzGrwaFztrE,Excellent movie All Around worth the watch,,,,,,,
hzGrwaFztrE,Enjoyed it ?,,,,,,,
hzGrwaFztrE,Definitely a movie worth watching! Kept my interest!,,,,,,,
hzGrwaFztrE,After reading the comments . I am watching,,,,,,,
hzGrwaFztrE,Thank u for the movie!,,,,,,,
hzGrwaFztrE,Was seriously good!,,,,,,,
hzGrwaFztrE,this was a good movie but for some reason i just knew the girl was working with the police,,,,,,,
hzGrwaFztrE,Cool movie. Pretty cool ending. Thanks for uploading.,,,,,,,
hzGrwaFztrE,Good movie, Thank you YouTube!,,,,,,
hzGrwaFztrE,Worth watching. ?,,,,,,,
hzGrwaFztrE,EXCELENT MOVIE !!! ? for youtube movie,,,,,,,
hzGrwaFztrE,wow! amzing movie,,worth to watch meaningfull in real life,,,,,
hzGrwaFztrE,He's look a little bit like hunter Hayes ?,,,,,,,
hzGrwaFztrE,Yea gud one. Safe to watch with my mom.,,,,,,,
hzGrwaFztrE,I love this movie even tho i watched this in 2019 nearly 2020 i loved it so much I would love a 2nd part of this movie.,,,,,,,
hzGrwaFztrE,Wow what a movie just loved it,,,,,,,
hzGrwaFztrE,Wow,,,,,,,
hzGrwaFztrE,Cerita sumpah best , plot twist dia memang umph , ending amat amatlah bagus , tq for upload , iloveyou .,,,
hzGrwaFztrE,I watched this movie at the end of 2019 that mean last night of 2019. GOOD BYE 2019,,,,,,,
hzGrwaFztrE,It's an amazing film  . The film has a good moral . I think everyone and  specially  the adults should watch this movie  . This film is not only about the story and the downfall of  a hacker  . The story has a deep inner meaning  . To know it you have to watch the movie with great  interest  . But that's very true — the story can automatically captures   one's mind  . I love it  ?,,,,,,,
hzGrwaFztrE,Close to Bonnie & Clyde in a different time line, great movie,,,,,,
hzGrwaFztrE,wonderful movie with a nice msg,,,,,,,
hzGrwaFztrE,haven't watch it yet, but based on the comments thanks for uploading.,,,,,,
hzGrwaFztrE,Wawww great moviee ...I just love it ?,,,,,,,
hzGrwaFztrE,Good movie, good cut, good action, and good acting. Sure, fantasy hacking (I wish it were that easy!!!), fantasy plot (the Zed character is a joke), but very entertaining with a cute little twist at the happy end, worth watching.
hzGrwaFztrE,Saw it b4, but so long ago... I just remembered it was really good & worth watching the 1st time... so watching it again! Really worth the watch, so I really recommend it! ??????????,,,,,
hzGrwaFztrE,One among the best science fiction movies??,,,,,,,
hzGrwaFztrE,Man This Was A Good Movie!!!,,,,,,,
hzGrwaFztrE,What about Sye?!!,,,,,,,
hzGrwaFztrE,Yeah, worthy !,,,,,,
